1,J. Timber 22/23,Ajax,21,0.986,0.957,0.895,0.320,0.764,0.248,0.964,5233
           2,Danilo 22/23,Juventus,31,0.773,0.776,0.800,0.304,0.206,0.555,0.644,5359
           3,N. Otamendi 22/23,Benfica,35,0.925,0.918,0.269,0.345,0.511,0.592,0.790,5266
           4,J. Egan 22/23,Sheffield United,30,0.382,0.166,0.592,0.513,0.650,0.521,0.333,5238
           5,D. Hancko 22/23,Feyenoord,25,0.928,0.573,0.943,0.402,0.984,0.669,0.957,5221
           6,N. Gudelj 22/23,Sevilla,31,0.630,0.844,0.098,0.193,0.369,0.577,0.806,5163
           7,A. Trusty 22/23,Arsenal,24,0.030,0.107,0.242,0.866,0.624,0.643,0.457,5119
           8,T. Alderweireld 22/23,Antwerp,34,0.943,0.350,0.928,0.211,0.988,0.527,0.583,5101
           9,C. Burgess 22/23,Union Saint-Gilloise,31,0.590,0.530,0.504,0.501,0.680,0.836,0.362,4967
           10,P. Chatzidiakos 22/23,AZ,26,0.862,0.627,0.899,0.123,0.456,0.177,0.806,4951
           11,Éder Militão 22/23,Real Madrid,25,0.788,0.783,0.350,0.684,0.285,0.814,0.729,4931
           12,V. van Dijk 22/23,Liverpool,31,0.952,0.951,0.415,0.118,0.922,0.981,0.427,4894
           13,Z. Debast 22/23,Anderlecht,19,0.784,0.416,0.971,0.082,0.438,0.012,0.918,4878
           14,W. Orban 22/23,RB Leipzig,30,0.964,0.806,0.805,0.568,0.853,0.460,0.534,4834
           15,A. Disasi 22/23,Monaco,25,0.619,0.638,0.838,0.437,0.790,0.852,0.963,4814
           16,Z. Vyner 22/23,Bristol City,26,0.534,0.207,0.858,0.639,0.638,0.063,0.493,4773
           17,Dante 22/23,Nice,39,0.955,0.910,0.893,0.466,0.577,0.875,0.238,4727
           18,Gabriel Magalhaes 22/23,Arsenal,25,0.817,0.922,0.483,0.087,0.454,0.550,0.641,4726
           19,G. Mancini 22/23,Roma,27,0.438,0.466,0.645,0.288,0.760,0.492,0.514,4699
           20,António Silva 22/23,Benfica,19,0.906,0.949,0.479,0.276,0.339,0.407,0.777,4693
           21,M. Akanji 22/23,Man City,27,0.992,0.971,0.625,0.036,0.138,0.119,0.890,4693
           22,A. Rüdiger 22/23,Real Madrid,30,0.850,0.948,0.065,0.012,0.656,0.848,0.614,4625
           23,W. Pacho 22/23,Antwerp,21,0.905,0.315,0.691,0.583,0.847,0.193,0.127,4603
           24,M. Ginter 22/23,Freiburg,29,0.710,0.503,0.796,0.267,0.448,0.795,0.618,4531
           25,E. Tapsoba 22/23,Bayer Leverkusen,24,0.907,0.691,0.906,0.647,0.793,0.481,0.888,4528
           26,Ibañez 22/23,Roma,24,0.517,0.745,0.168,0.723,0.501,0.744,0.534,4528
           27,Min-Jae Kim 22/23,Napoli,26,0.988,0.953,0.878,0.322,0.766,0.720,0.829,4460
           28,R. Knoche 22/23,Union Berlin,31,0.662,0.356,0.871,0.807,0.791,0.310,0.559,4445
           29,D. Upamecano 22/23,Bayern München,24,0.994,0.800,0.963,0.651,0.802,0.123,0.741,4432
           30,Rúben Dias 22/23,Man City,26,0.999,0.989,0.689,0.023,0.978,0.414,0.770,4432
           31,C. Smalling 22/23,Roma,33,0.286,0.432,0.024,0.320,0.993,0.983,0.055,4431
           32,Gonçalo Inácio 22/23,Sporting CP,21,0.981,0.879,0.951,0.229,0.305,0.440,0.975,4426
           33,Andrei Girotto 22/23,Nantes,31,0.536,0.311,0.450,0.988,0.181,0.537,0.309,4413
           34,J. Castelletto 22/23,Nantes,28,0.416,0.724,0.468,0.439,0.332,0.624,0.624,4406
           35,J. Cooper 22/23,Millwall,28,0.092,0.387,0.299,0.185,0.329,0.695,0.229,4405
           36,B. Mechele 22/23,Club Brugge,30,0.872,0.828,0.544,0.704,0.469,0.727,0.690,4362
           37,Marquinhos 22/23,PSG,29,0.957,0.995,0.063,0.060,0.865,0.433,0.703,4353
           38,J. Gvardiol 22/23,RB Leipzig,21,0.995,0.860,0.949,0.592,0.370,0.136,0.749,4352
           39,B. Cabango 22/23,Swansea City,23,0.975,0.919,0.618,0.263,0.702,0.259,0.948,4343
           40,D. O'Shea 22/23,WBA,24,0.776,0.561,0.783,0.203,0.561,0.730,0.848,4329
           41,F. Acerbi 22/23,Internazionale,35,0.741,0.729,0.274,0.247,0.501,0.704,0.790,4314
           42,J. Storey 22/23,Preston North End,25,0.181,0.364,0.180,0.592,0.476,0.901,0.575,4307
           43,I. Hien 22/23,Hellas Verona,24,0.171,0.257,0.286,0.960,0.595,0.373,0.411,4299
           44,S. Coates 22/23,Sporting CP,32,0.896,0.495,0.651,0.036,0.883,0.710,0.501,4298
           45,F. Schär 22/23,Newcastle United,31,0.410,0.131,0.772,0.308,0.869,0.821,0.795,4278
           46,M. Talbi 22/23,Lorient,25,0.627,0.840,0.077,0.343,0.649,0.835,0.690,4272
           47,J. Todibo 22/23,Nice,23,0.916,0.819,0.853,0.636,0.938,0.925,0.551,4268
           48,J. Vertonghen 22/23,Anderlecht,36,0.873,0.674,0.786,0.283,0.834,0.920,0.654,4264
           49,T. Lees 22/23,Huddersfield Town,32,0.209,0.308,0.668,0.322,0.814,0.704,0.037,4260
           50,Bremer 22/23,Juventus,26,0.713,0.754,0.070,0.575,0.808,0.434,0.127,4254
           51,T. Lockyer 22/23,Luton Town,28,0.129,0.069,0.911,0.777,0.955,0.568,0.355,4245
           52,G. Hanley 22/23,Norwich City,31,0.620,0.542,0.095,0.234,0.783,0.971,0.753,4244
           53,D. Lenihan 22/23,Middlesbrough,29,0.877,0.586,0.710,0.297,0.551,0.891,0.753,4214
           54,E. Dier 22/23,Tottenham,29,0.800,0.653,0.415,0.159,0.052,0.678,0.382,4211
           55,E. N'Dicka 22/23,Eintracht Frankfurt,23,0.764,0.696,0.475,0.487,0.141,0.384,0.514,4197
           56,D. Lovren 22/23,Olympique Lyonnais,33,0.879,0.661,0.470,0.123,0.444,0.843,0.669,4190
           57,P. Hincapié 22/23,Bayer Leverkusen,21,0.812,0.408,0.780,0.626,0.232,0.303,0.813,4185
           58,S. Van der Heyden 22/23,Union Saint-Gilloise,25,0.497,0.659,0.496,0.684,0.590,0.481,0.610,4150
           59,L. Dunk 22/23,Brighton,31,0.998,0.896,0.684,0.052,0.098,0.438,0.644,4132
           60,F. Tomori 22/23,Milan,25,0.744,0.628,0.534,0.803,0.662,0.817,0.703,4130
           61,R. Porteous 22/23,Watford,24,0.595,0.229,0.952,0.515,0.574,0.379,0.849,4118
           62,Tuta 22/23,Eintracht Frankfurt,23,0.692,0.121,0.931,0.900,0.538,0.098,0.548,4113
           63,C. Kipré 22/23,Cardiff City,26,0.116,0.255,0.200,0.327,0.858,0.587,0.483,4099
           64,S. Botman 22/23,Newcastle United,23,0.531,0.788,0.121,0.129,0.409,0.403,0.115,4093
           65,A. Theate 22/23,Rennes,23,0.937,0.912,0.916,0.060,0.373,0.519,0.860,4087
           66,D. Hyam 22/23,Blackburn Rovers,27,0.876,0.435,0.510,0.589,0.914,0.305,0.474,4068
           67,P. Ng 22/23,Cardiff City,27,0.317,0.279,0.831,0.513,0.691,0.052,0.551,4061
           68,Matheus Reis 22/23,Sporting CP,28,0.972,0.914,0.836,0.014,0.010,0.245,0.920,4050
           69,S. Beukema 22/23,AZ,24,0.967,0.753,0.930,0.166,0.737,0.484,0.905,4042
           70,K. Danso 22/23,Lens,24,0.888,0.862,0.444,0.099,0.211,0.755,0.895,4040
           71,J. Tarkowski 22/23,Everton,30,0.261,0.537,0.361,0.725,0.069,0.922,0.269,4040
           72,Lisandro Martínez 22/23,Man United,25,0.847,0.632,0.625,0.838,0.706,0.135,0.777,4027
           73,M. Kilman 22/23,Wolverhampton,26,0.698,0.468,0.794,0.451,0.546,0.421,0.644,4013
           74,A. Yiadom 22/23,Reading,31,0.055,0.214,0.235,0.474,0.086,0.203,0.773,4009
           75,J. Tah 22/23,Bayer Leverkusen,27,0.854,0.881,0.128,0.304,0.683,0.633,0.218,4000
