1,Gonçalo Silva 23/24,Farense,32,0.202,0.129,0.613,0.573,0.925,0.342,0.096,3184
2,Aderllan Santos 23/24,Rio Ave,35,0.569,0.228,0.347,0.762,0.936,0.567,0.039,3176
3,Gabriel Pereira 23/24,Gil Vicente,24,0.61,0.248,0.397,0.452,0.283,0.342,0.221,3094
4,Filipe Relvas 23/24,Portimonense,24,0.259,0.219,0.613,0.74,0.714,0.553,0.292,3088
5,N. Otamendi 23/24,Benfica,36,0.692,0.865,0.307,0.259,0.683,0.747,0.918,3049
6,Pedrão 23/24,Portimonense,27,0.34,0.136,0.916,0.613,0.309,0.696,0.701,2934
7,Rúben Fernandes 23/24,Gil Vicente,38,0.597,0.195,0.573,0.072,0.076,0.578,0.138,2920
8,N. Zolotić 23/24,Casa Pia AC,30,0.437,0.698,0.421,0.714,0.573,0.362,0.41,2917
9,António Silva 23/24,Benfica,20,0.727,0.971,0.452,0.123,0.769,0.523,0.896,2892
10,Javi Montero 23/24,Arouca,25,0.712,0.221,0.821,0.369,0.03,0.29,0.674,2853
11,Bernardo Vital 23/24,Estoril,23,0.584,0.723,0.419,0.397,0.103,0.296,0.56,2835
12,Maracás 23/24,Moreirense,30,0.527,0.358,0.219,0.27,0.536,0.632,0.197,2817
13,Anderson 23/24,Vizela,29,0.173,0.461,0.087,0.404,0.134,0.18,0.142,2781
14,Otávio 23/24,Porto,22,0.683,0.443,0.848,0.6,0.868,0.123,0.531,2763
15,R. Abascal 23/24,Boavista,30,0.496,0.101,0.909,0.727,0.661,0.593,0.142,2746
16,Gonçalo Inácio 23/24,Sporting CP,22,0.958,0.72,0.993,0.213,0.45,0.208,0.769,2746
17,Jorge Fernandes 23/24,Vitória Guimarães,27,0.197,0.27,0.705,0.734,0.635,0.83,0.443,2728
18,Vasco Fernandes 23/24,Chaves,37,0.083,0.217,0.18,0.408,0.703,0.325,0.292,2695
19,Tomás Ribeiro 23/24,Vitória Guimarães,25,0.151,0.193,0.428,0.147,0.279,0.608,0.103,2667
20,Kialonda Gaspar 23/24,Estrela Amadora,26,0.531,0.27,0.687,0.832,0.202,0.909,0.498,2612
21,Alemão 23/24,Portimonense,21,0.213,0.072,0.257,0.806,0.272,0.474,0.347,2609
22,Marcelo 23/24,Moreirense,34,0.338,0.134,0.428,0.826,0.749,0.435,0.019,2577
23,S. Coates 23/24,Sporting CP,33,0.83,0.43,0.694,0.083,0.358,0.997,0.292,2515
24,O. Diomandé 23/24,Sporting CP,20,0.894,0.898,0.613,0.114,0.945,0.804,0.646,2352
25,T. Borevković 23/24,Vitória Guimarães,26,0.07,0.353,0.039,0.254,0.635,0.529,0.169,2267
26,Fernando Varela 23/24,Casa Pia AC,36,0.094,0.213,0.226,0.32,0.257,0.219,0.079,2246
27,C. Awaziem 23/24,Boavista,27,0.472,0.254,0.597,0.408,0.424,0.635,0.109,2186
28,Josué Sá 23/24,Rio Ave,31,0.514,0.606,0.474,0.384,0.426,0.672,0.764,2176
