1,A. Robinson 23/24,Fulham,26,0.372,0.545,0.846,0.963,0.718,0.798,0.795,3703
2,Diogo Dalot 23/24,Man United,25,0.701,0.276,0.286,0.576,0.358,0.451,0.278,3590
3,T. Mitchell 23/24,Crystal Palace,24,0.524,0.466,0.639,0.92,0.983,0.447,0.048,3574
4,G. Di Lorenzo 23/24,Napoli,30,0.293,0.716,0.99,0.254,0.92,0.223,0.632,3535
5,Emerson Palmieri 23/24,West Ham,29,0.533,0.12,0.228,0.646,0.771,0.709,0.668,3506
6,Pedro Porro 23/24,Tottenham,24,0.04,0.802,0.668,0.87,0.187,0.379,0.199,3505
7,E. Konsa 23/24,Aston Villa,26,0.372,0.031,0.112,0.098,0.709,0.961,0.156,3498
8,V. Coufal 23/24,West Ham,31,0.704,0.716,0.603,0.766,0.158,0.889,0.543,3487
9,Carlos Neva 23/24,Granada,27,0.745,0.12,0.73,0.576,0.836,0.745,0.175,3485
10,Nélson Semedo 23/24,Wolverhampton,30,0.144,0.12,0.497,0.608,0.423,0.204,0.858,3461
11,Miguel Gutiérrez 23/24,Girona,22,0.838,0.944,0.206,0.122,0.223,0.456,0.586,3380
12,A. Marušić 23/24,Lazio,31,0.935,0.031,0.524,0.084,0.286,0.387,0.194,3355
13,Óscar Mingueza 23/24,Celta de Vigo,25,0.406,0.716,0.927,0.343,0.418,0.103,0.725,3351
14,B. White 23/24,Arsenal,26,0.346,0.605,0.675,0.245,0.206,0.822,0.158,3347
15,V. Gendrey 23/24,Lecce,23,0.365,0.074,0.545,0.701,0.737,0.834,0.497,3318
16,R. Bellanova 23/24,Torino,24,0.822,0.802,0.437,0.014,0.346,0.612,0.961,3256
17,Bernardo 23/24,Bochum,29,0.625,0.012,0.694,0.995,0.932,0.925,0.093,3245
18,K. Lala 23/24,Brest,32,0.576,0.656,0.973,0.584,0.915,0.081,0.497,3243
19,B. Locko 23/24,Brest,22,0.807,0.12,0.487,0.745,0.884,0.605,0.908,3238
20,J. Koundé 23/24,Barcelona,25,0.372,0.201,0.899,0.264,0.646,0.879,0.704,3233
21,A. Doughty 23/24,Luton Town,24,0.56,0.956,0.415,0.283,0.105,0.295,0.783,3213
22,I. Balliu 23/24,Rayo Vallecano,32,0.153,0.276,0.413,0.163,0.826,0.495,0.384,3170
23,J. Bogle 23/24,Sheffield United,23,0.074,0.031,0.04,0.781,0.201,0.887,0.338,3147
24,Andoni Gorosabel 23/24,Deportivo Alavés,27,0.223,0.276,0.192,0.62,0.764,0.177,0.391,3140
25,Sergi Cardona 23/24,Las Palmas,24,0.346,0.466,0.87,0.971,0.557,0.8,0.557,3131
26,K. Walker 23/24,Man City,33,0.588,0.375,0.54,0.057,0.61,0.949,0.819,3099
27,D. Burn 23/24,Newcastle United,32,0.435,0.031,0.199,0.822,0.706,0.973,0.016,3073
28,Theo Hernández 23/24,Milan,26,0.632,0.656,0.574,0.201,0.699,0.966,0.971,3067
29,Alex Grimaldo 23/24,Bayer Leverkusen,28,0.562,0.985,0.48,0.06,0.514,0.278,0.61,3013
30,D. Bradarić 23/24,Salernitana,24,0.319,0.201,0.362,0.134,0.524,0.189,0.661,3007
31,T. Castagne 23/24,Fulham,28,0.329,0.276,0.475,0.699,0.456,0.793,0.269,2991
32,J. Föhrenbach 23/24,Heidenheim,28,0.55,0.12,0.742,0.324,0.8,0.788,0.312,2978
