1,M. Gibbs-White 23/24,Nottingham Forest,24,0.317,0.36,0.257,0.631,0.858,0.744,0.298,3563
2,J. McGinn 23/24,Aston Villa,29,0.128,0.335,0.438,0.211,0.466,0.507,0.301,3374
3,M. Soulé 23/24,Frosinone,21,0.755,0.817,0.438,0.75,0.304,0.907,0.853,3356
4,Sávio 23/24,Girona,20,0.912,0.958,0.713,0.631,0.804,0.729,0.948,3256
5,A. Gordon 23/24,Newcastle United,23,0.827,0.724,0.765,0.809,0.858,0.567,0.695,3232
6,D. McNeil 23/24,Everton,24,0.314,0.347,0.185,0.631,0.695,0.871,0.427,3219
7,B. Saka 23/24,Arsenal,22,0.855,0.842,0.765,0.984,0.804,0.742,0.886,3217
8,P. Foden 23/24,Man City,23,0.546,0.541,0.976,0.832,0.592,0.819,0.639,3150
9,D. Kulusevski 23/24,Tottenham,24,0.737,0.796,0.659,0.474,0.36,0.961,0.842,3126
10,A. Laurienté 23/24,Sassuolo,25,0.76,0.78,0.371,0.324,0.51,0.206,0.716,3104
11,Iñaki Williams 23/24,Athletic Bilbao,29,0.685,0.765,0.878,0.75,0.36,0.829,0.873,3081
12,Isi Palazón 23/24,Rayo Vallecano,29,0.1,0.177,0.108,0.231,0.216,0.01,0.203,3024
13,M. Folorunsho 23/24,Hellas Verona,26,0.167,0.201,0.399,0.069,0.113,0.072,0.131,3018
14,Iván Martín 23/24,Girona,25,0.497,0.128,0.399,0.054,0.51,0.097,0.038,2984
15,A. Candreva 23/24,Salernitana,37,0.149,0.373,0.399,0.453,0.78,0.597,0.556,2981
16,M. Greenwood 23/24,Getafe,22,0.871,0.902,0.53,0.474,0.719,0.159,0.899,2964
17,Felipe Anderson 23/24,Lazio,31,0.492,0.44,0.399,0.528,0.719,0.907,0.319,2956
18,C. Palmer 23/24,Chelsea,22,0.747,0.518,0.93,0.989,0.891,0.853,0.726,2949
19,J. Ito 23/24,Reims,31,0.695,0.682,0.231,0.734,0.719,0.963,0.765,2939
20,K. Kvaratskhelia 23/24,Napoli,23,0.979,0.992,0.873,0.891,0.628,0.654,0.984,2931
21,L. Díaz 23/24,Liverpool,27,0.865,0.688,0.713,0.904,0.216,0.78,0.657,2916
22,Jon Guridi 23/24,Deportivo Alavés,29,0.028,0.025,0.231,0.069,0.36,0.136,0.002,2895
23,Lucas Paquetà 23/24,West Ham,26,0.069,0.296,0.108,0.373,0.51,0.847,0.314,2882
24,Bernardo Silva 23/24,Man City,29,0.778,0.231,0.569,0.396,0.858,0.886,0.268,2880
25,Diego López 23/24,Valencia,22,0.456,0.213,0.231,0.1,0.36,0.458,0.182,2875
26,Mohamed Salah 23/24,Liverpool,31,0.448,0.141,0.94,0.997,0.858,0.981,0.536,2868
27,F. Sotoca 23/24,Lens,33,0.141,0.131,0.257,0.809,0.662,0.881,0.51,2837
28,N. Vlašić 23/24,Torino,26,0.306,0.309,0.257,0.082,0.216,0.18,0.286,2836
29,Dani Rodríguez 23/24,Mallorca,35,0.208,0.221,0.108,0.231,0.546,0.206,0.195,2834
30,A. Garnacho 23/24,Man United,19,0.956,0.85,0.628,0.809,0.546,0.417,0.806,2822
31,A. Colpani 23/24,Monza,25,0.582,0.44,0.734,0.425,0.546,0.654,0.384,2819
32,J. Ayew 23/24,Crystal Palace,32,0.546,0.755,0.335,0.301,0.804,0.417,0.662,2816
33,M. Kudus 23/24,West Ham,23,0.672,0.948,0.734,0.324,0.739,0.536,0.927,2802
34,Álex Baena 23/24,Villarreal,22,0.389,0.231,0.108,0.847,0.981,0.914,0.412,2799
35,C. Pulišić 23/24,Milan,25,0.801,0.878,0.925,0.75,0.739,0.474,0.896,2799
36,M. Cham 23/24,Clermont,23,0.283,0.265,0.335,0.693,0.425,0.051,0.234,2774
37,A. Elanga 23/24,Nottingham Forest,22,0.608,0.448,0.438,0.68,0.912,0.762,0.414,2768
38,C. Führich 23/24,Stuttgart,26,0.953,0.806,0.734,0.786,0.757,0.626,0.801,2762
39,N. Cambiaghi 23/24,Empoli,23,0.724,0.904,0.074,0.301,0.113,0.59,0.871,2762
40,Xavi Simons 23/24,RB Leipzig,21,0.914,0.796,0.659,0.865,0.876,0.853,0.76,2759
41,Rafael Leão 23/24,Milan,24,0.927,0.953,0.798,0.786,0.917,0.912,0.963,2736
42,E. Dinkçi 23/24,Heidenheim,22,0.551,0.389,0.845,0.188,0.425,0.507,0.466,2733
43,Adri Embarba 23/24,Almería,32,0.481,0.713,0.131,0.373,0.257,0.445,0.703,2730
44,Luis Rioja 23/24,Deportivo Alavés,30,0.368,0.595,0.131,0.489,0.425,0.641,0.721,2701
45,Álvaro García 23/24,Rayo Vallecano,31,0.167,0.157,0.585,0.425,0.113,0.554,0.355,2665
46,J. Beste 23/24,Heidenheim,25,0.533,0.265,0.752,0.786,0.958,0.567,0.42,2655
47,R. Del Castillo 23/24,Brest,28,0.623,0.896,0.497,0.847,0.842,0.92,0.922,2635
48,B. Bourigeaud 23/24,Rennes,30,0.051,0.007,0.131,0.884,0.592,0.371,0.059,2611
49,Munir El Haddadi 23/24,Las Palmas,28,0.149,0.149,0.257,0.188,0.257,0.097,0.069,2611
50,A. Iwobi 23/24,Fulham,28,0.711,0.34,0.497,0.425,0.113,0.59,0.44,2589
51,B. Johnson 23/24,Tottenham,23,0.492,0.572,0.53,0.868,0.938,0.943,0.628,2571
52,K. Thorstvedt 23/24,Sassuolo,25,0.126,0.082,0.608,0.211,0.126,0.108,0.036,2550
53,F. Wirtz 23/24,Bayer Leverkusen,21,0.78,0.719,0.878,0.873,0.858,0.943,0.837,2547
54,J. Bellingham 23/24,Real Madrid,20,0.523,0.61,0.994,0.891,0.78,0.654,0.708,2544
55,N. Nández 23/24,Cagliari,28,0.234,0.27,0.077,0.188,0.257,0.458,0.319,2522
56,M. Rashford 23/24,Man United,26,0.77,0.623,0.53,0.556,0.257,0.332,0.569,2518
57,M. Politano 23/24,Napoli,30,0.829,0.837,0.628,0.873,0.804,0.956,0.907,2510
58,Ayoze Pérez 23/24,Real Betis,30,0.628,0.773,0.845,0.847,0,0.396,0.69,2491
59,S. Adingra 23/24,Brighton,22,0.724,0.744,0.628,0.301,0.126,0.474,0.778,2483
60,J. Harrison 23/24,Everton,27,0.226,0.399,0.286,0.255,0.466,0.762,0.389,2483
61,Lamine Yamal 23/24,Barcelona,16,0.876,0.932,0.53,0.75,0.628,0.871,0.938,2466
62,G. Bonaventura 23/24,Fiorentina,34,0.309,0.278,0.786,0.556,0.466,0.474,0.481,2456
63,E. Zhegrova 23/24,Lille,25,0.855,0.979,0.628,0.809,0.719,0.78,0.974,2448
64,V. Grifo 23/24,Freiburg,31,0.219,0.327,0.131,0.93,0.876,0.78,0.481,2431
65,Nico Williams 23/24,Athletic Bilbao,21,0.974,0.971,0.569,0.765,0.976,0.853,0.979,2419
66,J. Ponceau 23/24,Lorient,23,0.706,0.306,0.286,0.082,0.126,0.082,0.188,2405
67,T. Kubo 23/24,Real Sociedad,22,0.894,0.951,0.752,0.556,0.628,0.719,0.943,2371
68,A. Semenyo 23/24,Bournemouth,24,0.829,0.865,0.798,0.556,0.466,0.672,0.873,2366
69,D. Bakwa 23/24,Strasbourg,21,0.755,0.78,0.286,0.425,0.824,0.384,0.731,2365
70,L. Bailey 23/24,Aston Villa,26,0.667,0.752,0.922,0.914,0.961,0.981,0.793,2355
71,R. Doan 23/24,Freiburg,25,0.195,0.641,0.659,0.453,0.304,0.255,0.559,2353
72,M. Tavernier 23/24,Bournemouth,25,0.739,0.43,0.286,0.716,0.628,0.554,0.435,2350
73,J. Hofmann 23/24,Bayer Leverkusen,31,0.296,0.038,0.399,0.904,0.891,0.886,0.201,2348
74,A. Golovin 23/24,Monaco,27,0.368,0.34,0.659,0.657,0.739,0.688,0.407,2333
75,W. Odobert 23/24,Burnley,19,0.822,0.688,0.311,0.301,0.304,0.536,0.615,2308
