1,V. Gyökeres 23/24,Sporting CP,25,0.6,0.671,0.946,0.915,0.208,0.851,0.978,3225
2,Cristo González 23/24,Arouca,26,0.911,0.371,0.593,0.784,0.964,0.879,0.809,3025
3,S. Essende 23/24,Vizela,26,0.063,0.759,0.791,0.681,0.102,0.003,0.501,2939
4,Héctor Hernández 23/24,Chaves,28,0.19,0.424,0.441,0.639,0.325,0.014,0.127,2871
5,R. Boženík 23/24,Boavista,24,0.127,0.515,0.349,0.692,0.445,0.056,0.424,2844
6,Rafa Mújica 23/24,Arouca,25,0.176,0.134,0.939,0.869,0.056,0.459,0.696,2776
7,J. Cádiz 23/24,Famalicão,28,0.123,0.929,0.742,0.784,0.491,0.003,0.261,2519
8,Bruno Duarte 23/24,Farense,28,0.367,0.342,0.53,0.346,0.851,0.279,0.579,2456
9,S. Banza 23/24,Sporting Braga,27,0.328,0.6,0.971,0.961,0.25,0.176,0.575,2234
10,Evanilson 23/24,Porto,24,0.681,0.901,0.766,0.763,0.561,0.643,0.593,2226
11,Abel Ruiz 23/24,Sporting Braga,24,0.508,0.053,0.381,0.208,0.236,0.279,0.194,2117
12,E. Boateng 23/24,Rio Ave,27,0.173,0.773,0.48,0.749,0.095,0.056,0.346,2078
13,André Silva 23/24,Vitória Guimarães,26,0.526,0.233,0.805,0.416,0.752,0.53,0.349,1932
14,Clayton 23/24,Casa Pia AC,25,0.296,0.321,0.572,0.385,0.84,0.056,0.607,1811
15,Kikas 23/24,Estrela Amadora,25,0.219,0.141,0.699,0.318,0.48,0.703,0.335,1748
16,Cassiano 23/24,Estoril,34,0,0.42,0.494,0.473,0.045,0.279,0.053,1745
17,Felippe Cardoso 23/24,Casa Pia AC,25,0.102,0.508,0.515,0.254,0.477,0.116,0.31,1708
18,M. Taremi 23/24,Porto,31,0.717,0.477,0.272,0.515,0.459,0.703,0.406,1646
19,Alejandro Marqués 23/24,Estoril,23,0.017,0.265,0.791,0.575,0.07,0.003,0.084,1552
20,R. Carrillo 23/24,Portimonense,27,0.247,0.286,0.332,0.106,0.385,0.388,0.028,1480
21,Arthur Cabral 23/24,Benfica,26,0.409,0.473,0.618,0.833,0.084,0.279,0.643,1476
22,André Luis 23/24,Moreirense,30,0.314,0.872,0.494,0.141,0.689,0.176,0.007,1463
23,André Luiz 23/24,Estrela Amadora,22,0.346,0.932,0.42,0.692,0.572,0.279,0.911,1339
24,Ronaldo Tavares 23/24,Estrela Amadora,26,0.159,0.795,0.243,0.318,0.169,0.279,0.798,1275
25,A. Yakubu 23/24,Rio Ave,25,0.233,0.367,0.137,0.515,0.208,0.643,0.204,1221
26,Jô 23/24,Chaves,29,0.003,0.901,0.137,0.24,0.028,0.459,0.166,1200
27,Luís Asué 23/24,Moreirense,22,0.212,0.879,0,0.091,0.431,0.53,0.353,1001
28,V. Pavlidis 23/24,AZ,25,0.787,0.823,0.985,0.957,0.855,0.459,0.904,3202
29,T. Robinet 23/24,Almere City,27,0.522,0.568,0.332,0.416,0.886,0.388,0.021,3148
30,L. de Jong 23/24,PSV,33,0.83,0.992,0.961,1,0.501,0.904,0.625,2930
31,L. Thy 23/24,PEC Zwolle,32,0.756,0.621,0.689,0.318,0.699,0.176,0.106,2912
32,T. Lauritsen 23/24,Sparta Rotterdam,26,0.318,0.989,0.53,0.784,0.681,0.459,0.31,2758
33,B. Brobbey 23/24,Ajax,22,0.144,0.939,0.925,0.939,0.014,0.943,0.738,2616
34,S. Giménez 23/24,Feyenoord,23,0.363,0.802,0.971,0.968,0.314,0.787,0.699,2584
35,K. Ogawa 23/24,NEC,26,0.084,0.678,0.53,0.416,0,0.056,0.017,2433
36,K. Sierhuis 23/24,Fortuna Sittard,26,0.491,0.572,0.742,0.749,0.554,0.611,0.621,2361
37,P. van Amersfoort 23/24,Heerenveen,28,0.275,0.54,0.689,0.763,0.462,0.116,0.416,2255
38,R. van Wolfswinkel 23/24,Twente,35,0.579,0.413,0.915,0.692,0.703,0.756,0.268,2119
39,V. Edvardsen 23/24,Go Ahead Eagles,28,0.385,0.021,0.169,0.816,0.106,0.176,0.491,2079
40,M. Kramer 23/24,RKC Waalwijk,35,0.162,0.946,0.212,0.692,0.314,0.176,0.01,2026
41,R. van La Parra 23/24,Almere City,32,0.498,0.282,0.063,0.091,0.406,0.53,0.925,1962
42,M. Seuntjens 23/24,RKC Waalwijk,32,0.78,0.689,0.063,0.035,0.978,0.943,0.742,1919
43,S. Lammers 23/24,Utrecht,27,0.696,0.749,0.833,0.784,0.784,0.53,0.791,1833
44,D. Min 23/24,RKC Waalwijk,24,0.222,0.325,0.773,0.727,0.25,0.116,0.572,1820
45,M. Engels 23/24,Heracles,30,0.169,0.038,0.349,0.081,0.148,0.703,0.406,1770
46,T. Parrott 23/24,Excelsior,22,0.409,0.325,0.858,0.639,0.219,0.643,0.551,1713
47,R. Mühren 23/24,Volendam,35,0.014,0.427,0.773,0.763,0.159,0.388,0.098,1615
48,C. Brym 23/24,Sparta Rotterdam,25,0.583,0.275,0.314,0.208,0.519,0.53,0.876,1554
49,K. Hansen 23/24,Almere City,23,0.547,0.187,0.332,0.275,0.342,0.056,0.908,1527
50,M. Ugalde 23/24,Twente,21,0.611,0.441,0.742,0.727,0.406,0.961,0.749,1459
51,J. Hornkamp 23/24,Heracles,26,0.356,0.961,0.791,0.901,0.169,0.787,0.272,1370
52,S. Sow 23/24,NEC,27,0.151,0.084,0.833,0.816,0.36,0.53,0.533,1296
53,M. Sankoh 23/24,Heracles,20,0.3,0.293,0.766,0.925,0.257,0.056,0.06,1224
54,C. Akpom 23/24,Ajax,28,0.427,0.897,0.992,0.968,0.462,0.756,0.664,1184
55,I. Lidberg 23/24,Utrecht,25,0.194,0.724,0.554,0.692,0.201,0.116,0.215,1056
56,T. Baeten 23/24,Go Ahead Eagles,21,0.215,0.3,0,0.014,0.353,0.611,0.84,1025
57,F. Druijf 23/24,PEC Zwolle,26,0.477,0.784,0.42,0.611,0.809,0.459,0.035,1012
