ID,Player,Top 7 Leagues,Goals per 90,xG per 90,Shots on target per 90,Shots on target %,Passes completed,Pass accuracy %,Possession %,Positional attacks per 90,Counter attacks per 90,Touches in the box per 90,Goals conceded per 90,SoT against per 90,Defensive duels per 90,Defensive duel %,Aerial duels per 90,Aerial duels %,Passes per possession,PPDA
 1,Ajax,Eredivisie,2,1.84,5.7,43.79,477.62,87.24,56.93,30.28,1.64,23.98,1.83,5.17,63.36,62.83,28.17,49.92,5.63,11.78
2,Almere City,Eredivisie,0.97,1.18,3.49,33.52,246.46,74.67,44.66,31.11,1.37,16.89,1.74,5.91,81.11,62.24,57.71,41.09,2.92,9.23
3,Almería,La Liga,1.13,1.33,4.28,36.93,310.83,82.88,47.43,23.58,2.13,13.53,1.9,5.25,66.53,59.11,37.13,45.12,3.62,11.29
4,Arouca,Primeira Liga,1.58,1.5,4.8,36.92,370.3,83.39,52.94,27.15,1.9,13.95,1.48,4.4,64.73,58.29,29.65,45.53,4.16,10.15
5,Arsenal,Premier League,2.17,1.96,5.31,35.61,477.83,88.87,57.17,32.5,1.69,31.63,0.83,2.62,61.12,60.95,31.88,44.63,5.77,9.1
6,Aston Villa,Premier League,1.93,1.72,5.2,41.45,405.46,87.32,56.46,25.75,1.79,22.95,1.46,4.38,56.05,58.43,23.54,44.39,4.95,13.2
7,Atalanta,Serie A,1.89,1.84,5.27,39.51,386.73,84.18,48.91,31.29,1.8,21.65,0.95,3.75,77.69,62.63,37.4,50.17,4.34,10.36
8,Athletic Bilbao,La Liga,1.74,1.65,4.74,38.38,367.13,82.58,50.56,32.11,1.91,21.02,0.89,3.8,68.67,61.13,36.28,45.24,4.03,9.9
9,Atlético Madrid,La Liga,1.93,1.73,5.39,43.24,446.22,86.24,49.51,28.63,1.5,22,1.26,4.41,69.17,61.74,28.89,46.92,5.21,12.82
10,Augsburg,Bundesliga,1.41,1.57,3.79,31.54,301.21,80.93,46.1,29.06,1.68,20.32,1.76,5.21,64.74,59.43,43.53,45.68,3.64,11.45
11,AZ,Eredivisie,1.89,1.67,4.8,37.71,427.2,85.59,53.85,32.13,1.63,23.22,1.3,3.83,63.02,60.57,35.61,43.41,4.87,10.13
12,Barcelona,La Liga,2.08,2.03,5.85,40.36,516.85,88.82,62.55,32.08,1.85,23.74,1.3,4.02,60.26,61.11,29,49.64,5.85,8.22
13,Bayer Leverkusen,Bundesliga,2.72,2.29,6.87,39.69,588.87,89.86,60.32,35.47,2.66,28.74,0.79,3.49,56.3,63.54,24.64,47.09,6.72,11.24
14,Bayern München,Bundesliga,2.33,2.19,6.19,37.59,545.77,89.5,60.38,34.77,2.27,28.92,1.29,3.73,58.63,63.01,25.31,50.37,6.25,11.78
15,Benfica,Primeira Liga,2.04,2.22,6.11,38.89,450,85.92,56.09,35.8,2.49,25.42,0.98,3.91,70.35,61.23,29.07,45.15,4.84,9.42
16,Boavista,Primeira Liga,1.19,1.16,3.57,37.61,329.81,82.29,47.34,23.95,1.59,12.7,1.76,5.05,69.05,57.77,32.65,45.45,3.74,11.87
17,Bochum,Bundesliga,1.24,1.58,4.5,30.97,269.71,76.78,46.74,32.12,1.85,18.32,2.18,5.82,72.82,62.2,61.03,46.51,3.06,8.84
18,Bologna,Serie A,1.43,1.29,4.12,35.82,490.43,88.23,57.8,27.33,1.38,15.67,0.79,3.48,70.4,62.12,28.26,46.93,5.62,9.96
19,Borussia Dortmund,Bundesliga,1.92,1.86,5.54,39.64,445.5,86.7,55.39,29.54,2.35,22.42,1.08,4.33,63.42,63.63,28.04,47.4,5.01,11.92
20,Borussia Mgladbach,Bundesliga,1.79,1.7,4.61,35.35,389.13,84.29,47.36,25.08,1.74,18.92,1.84,5.79,63.68,61.94,36.63,46.7,4.47,14.29
21,Bournemouth,Premier League,1.55,1.75,5.11,36.7,300.16,81.25,47.14,31.45,2.23,23.43,1.68,4.84,79.57,61.15,39.93,41.89,3.39,9.4
22,Brentford,Premier League,1.43,1.7,4.31,37.55,318.1,80.63,46.37,27.93,1.76,22.36,1.69,4.95,75.45,61.25,43.29,45.71,3.81,9.71
23,Brest,Ligue 1,1.54,1.57,4.84,36.38,401.65,84.69,54.09,32.86,1.24,17.97,1.03,4.08,79.32,62.73,40.81,47.75,4.39,9.48
24,Brighton,Premier League,1.5,1.69,5.06,37.59,534.3,89.52,59.19,29.44,1.12,25.1,1.54,4.36,64.98,59.22,25.34,48.7,6.27,10.13
25,Burnley,Premier League,1.1,1.2,3.62,34.55,355.19,83.41,50.02,24.38,1.43,18.24,1.95,6.1,67.93,59.41,39.9,43.5,4.32,12.34
26,Cádiz,La Liga,0.68,1.07,3.25,33.59,273.9,78.8,44.92,25.93,1.1,12.88,1.43,4.7,77.9,59.95,44.58,45.2,3.26,10.38
