1,Ajax,All comps,23/24,0.839,0.852,0.847,0.358,0.200,0.942,0.452
2,Almere City,All comps,23/24,0.091,0.211,0.186,0.122,0.166,0.424,0.888
3,Almería,All comps,23/24,0.259,0.287,0.267,0.763,0.170,0.271,0.625
4,Arouca,All comps,23/24,0.641,0.427,0.543,0.618,0.501,0.275,0.745
5,Arsenal,All comps,23/24,0.916,0.880,0.902,0.412,0.978,0.416,0.910
6,Aston Villa,All comps,23/24,0.809,0.763,0.685,0.511,0.519,0.194,0.219
7,Atalanta,All comps,23/24,0.770,0.776,0.609,0.519,0.880,0.920,0.730
8,Athletic Bilbao,All comps,23/24,0.740,0.664,0.563,0.625,0.892,0.488,0.805
9,Atlético Madrid,All comps,23/24,0.809,0.768,0.713,0.229,0.617,0.694,0.294
10,Augsburg,All comps,23/24,0.503,0.493,0.309,0.404,0.215,0.370,0.534
11,AZ,All comps,23/24,0.770,0.712,0.771,0.335,0.741,0.282,0.767
12,Barcelona,All comps,23/24,0.893,0.887,0.934,0.564,0.700,0.748,0.970
13,Bayer Leverkusen,All comps,23/24,0.992,0.959,0.970,0.961,0.948,0.828,0.632
14,Bayern München,All comps,23/24,0.946,0.941,0.960,0.832,0.775,0.958,0.452
15,Benfica,All comps,23/24,0.885,0.928,0.818,0.923,0.839,0.477,0.858
16,Boavista,All comps,23/24,0.320,0.094,0.295,0.312,0.245,0.229,0.407
17,Bochum,All comps,23/24,0.358,0.564,0.253,0.564,0.083,0.709,0.925
18,Bologna,All comps,23/24,0.519,0.313,0.812,0.129,0.952,0.725,0.797
19,Borussia Dortmund,All comps,23/24,0.801,0.819,0.777,0.877,0.730,0.851,0.399
20,Borussia Mgladbach,All comps,23/24,0.755,0.625,0.485,0.442,0.144,0.694,0.083
21,Bournemouth,All comps,23/24,0.618,0.783,0.345,0.816,0.328,0.317,0.873
22,Brentford,All comps,23/24,0.519,0.658,0.325,0.465,0.298,0.553,0.820
23,Brest,All comps,23/24,0.610,0.575,0.714,0.068,0.783,0.839,0.843
24,Brighton,All comps,23/24,0.580,0.773,0.902,0.038,0.493,0.519,0.767
25,Burnley,All comps,23/24,0.229,0.277,0.447,0.175,0.106,0.202,0.339
26,Cádiz,All comps,23/24,0.000,0.040,0.129,0.015,0.478,0.354,0.722
27,Cagliari,All comps,23/24,0.297,0.340,0.148,0.687,0.354,0.359,0.128
28,Casa Pia AC,All comps,23/24,0.312,0.073,0.160,0.664,0.493,0.076,0.271
29,Celta de Vigo,All comps,23/24,0.496,0.427,0.364,0.625,0.505,0.442,0.331
30,Chaves,All comps,23/24,0.038,0.038,0.103,0.045,0.117,0.404,0.549
31,Chelsea,All comps,23/24,0.870,0.877,0.874,0.916,0.471,0.492,0.707
32,Clermont,All comps,23/24,0.015,0.150,0.508,0.358,0.128,0.328,0.324
33,Crystal Palace,All comps,23/24,0.549,0.412,0.262,0.717,0.542,0.801,0.241
34,Darmstadt 98,All comps,23/24,0.022,0.091,0.352,0.183,0.031,0.546,0.271
35,Deportivo Alavés,All comps,23/24,0.267,0.412,0.082,0.541,0.775,0.446,0.361
36,Eintracht Frankfurt,All comps,23/24,0.687,0.620,0.697,0.732,0.659,0.667,0.467
37,Empoli,All comps,23/24,0.007,0.091,0.145,0.183,0.362,0.064,0.512
38,Estoril,All comps,23/24,0.679,0.292,0.290,0.442,0.339,0.160,0.519
39,Estrela Amadora,All comps,23/24,0.091,0.134,0.163,0.641,0.396,0.424,0.504
40,Everton,All comps,23/24,0.244,0.455,0.199,0.526,0.602,0.847,0.354
41,Excelsior,All comps,23/24,0.687,0.442,0.354,0.740,0.091,0.500,0.091
42,Famalicão,All comps,23/24,0.206,0.168,0.276,0.053,0.527,0.630,0.685
43,Farense,All comps,23/24,0.473,0.249,0.031,0.526,0.249,0.050,0.369
44,Feyenoord,All comps,23/24,0.938,0.977,0.880,0.206,0.955,0.969,0.895
45,Fiorentina,All comps,23/24,0.656,0.750,0.813,0.007,0.828,0.790,0.903
46,Fortuna Sittard,All comps,23/24,0.206,0.511,0.195,0.358,0.425,0.908,0.437
47,Freiburg,All comps,23/24,0.595,0.613,0.541,0.099,0.418,0.496,0.256
48,Frosinone,All comps,23/24,0.343,0.325,0.421,0.465,0.290,0.118,0.482
49,Fulham,All comps,23/24,0.503,0.575,0.593,0.862,0.343,0.599,0.234
50,Genoa,All comps,23/24,0.358,0.124,0.241,0.137,0.801,0.790,0.188
51,Getafe,All comps,23/24,0.251,0.228,0.178,0.068,0.467,0.282,0.850
52,Gil Vicente,All comps,23/24,0.381,0.223,0.448,0.061,0.463,0.301,0.391
53,Girona,All comps,23/24,0.931,0.806,0.825,0.335,0.583,0.343,0.625
54,Go Ahead Eagles,All comps,23/24,0.473,0.727,0.285,0.137,0.456,0.221,0.196
55,Granada,All comps,23/24,0.175,0.175,0.191,0.312,0.121,0.469,0.527
56,Heerenveen,All comps,23/24,0.671,0.664,0.598,0.229,0.192,0.427,0.286
57,Heidenheim,All comps,23/24,0.702,0.412,0.183,0.748,0.268,0.851,0.219
58,Hellas Verona,All comps,23/24,0.137,0.216,0.134,0.297,0.591,0.821,0.700
59,Heracles,All comps,23/24,0.305,0.226,0.262,0.603,0.035,0.332,0.121
60,Hoffenheim,All comps,23/24,0.824,0.679,0.560,0.656,0.095,0.580,0.279
61,Internazionale,All comps,23/24,0.900,0.857,0.818,0.938,0.971,0.843,0.489
62,Juventus,All comps,23/24,0.641,0.564,0.552,0.770,0.963,0.755,0.301
63,Köln,All comps,23/24,0.068,0.366,0.358,0.770,0.249,0.675,0.173
64,Las Palmas,All comps,23/24,0.053,0.084,0.795,0.000,0.689,0.527,0.880
65,Lazio,All comps,23/24,0.328,0.300,0.674,0.694,0.813,0.030,0.068
66,Le Havre,All comps,23/24,0.137,0.183,0.371,0.641,0.493,0.256,0.158
67,Lecce,All comps,23/24,0.022,0.313,0.238,0.458,0.452,0.419,0.610
68,Lens,All comps,23/24,0.427,0.605,0.655,0.664,0.613,0.500,0.662
69,Lille,All comps,23/24,0.748,0.804,0.856,0.213,0.873,0.496,0.737
70,Liverpool,All comps,23/24,0.969,0.989,0.926,0.984,0.742,0.603,0.978
71,Lorient,All comps,23/24,0.381,0.239,0.496,0.290,0.098,0.450,0.053
72,Luton Town,All comps,23/24,0.473,0.366,0.233,0.022,0.046,0.599,0.346
73,Mainz 05,All comps,23/24,0.183,0.495,0.334,0.267,0.561,0.275,0.752
74,Mallorca,All comps,23/24,0.198,0.231,0.201,0.137,0.775,0.668,0.715
75,Manchester City,All comps,23/24,0.977,0.990,0.997,0.137,0.933,0.816,0.782
76,Manchester United,All comps,23/24,0.717,0.834,0.683,0.969,0.226,0.324,0.610
77,Metz,All comps,23/24,0.137,0.028,0.029,0.954,0.215,0.080,0.016
78,Milan,All comps,23/24,0.786,0.781,0.769,0.908,0.621,0.721,0.677
79,Monaco,All comps,23/24,0.839,0.860,0.741,0.877,0.580,0.404,0.940
80,Montpellier,All comps,23/24,0.465,0.526,0.308,1.000,0.350,0.256,0.316
81,Monza,All comps,23/24,0.137,0.198,0.661,0.328,0.467,0.286,0.151
82,Moreirense,All comps,23/24,0.183,0.050,0.314,0.541,0.824,0.267,0.542
83,Nantes,All comps,23/24,0.068,0.384,0.395,0.992,0.482,0.133,0.113
84,Napoli,All comps,23/24,0.519,0.750,0.860,0.412,0.738,0.492,0.813
85,NEC,All comps,23/24,0.877,0.618,0.459,0.229,0.373,0.626,0.143
86,Newcastle United,All comps,23/24,0.839,0.801,0.535,0.465,0.369,0.519,0.670
87,Nice,All comps,23/24,0.381,0.651,0.743,0.229,0.918,0.656,0.579
88,Nottingham Forest,All comps,23/24,0.374,0.409,0.262,0.931,0.377,0.599,0.031
89,Olympique Lyonnais,All comps,23/24,0.580,0.725,0.731,0.564,0.418,0.401,0.564
90,Olympique Marseille,All comps,23/24,0.664,0.659,0.658,0.870,0.700,0.695,0.429
91,Osasuna,All comps,23/24,0.267,0.226,0.378,0.267,0.542,0.534,0.647
92,PEC Zwolle,All comps,23/24,0.450,0.419,0.358,0.267,0.095,0.588,0.234
93,Portimonense,All comps,23/24,0.351,0.109,0.180,0.694,0.132,0.225,0.482
94,Porto,All comps,23/24,0.824,0.898,0.816,0.259,0.967,0.530,0.993
95,PSG,All comps,23/24,0.954,0.931,0.978,0.946,0.734,0.339,0.955
96,PSV,All comps,23/24,1.000,0.995,0.902,0.832,0.955,0.962,0.948
97,Rayo Vallecano,All comps,23/24,0.083,0.409,0.406,0.412,0.749,0.202,0.933
98,RB Leipzig,All comps,23/24,0.908,0.821,0.703,0.977,0.809,0.801,0.414
99,Real Betis,All comps,23/24,0.564,0.664,0.664,0.465,0.782,0.358,0.640
100,Real Madrid,All comps,23/24,0.961,0.928,0.928,0.786,0.873,0.687,0.384
101,Real Sociedad,All comps,23/24,0.381,0.407,0.674,0.091,0.933,0.691,0.985
102,Reims,All comps,23/24,0.442,0.440,0.578,0.725,0.662,0.519,0.692
103,Rennes,All comps,23/24,0.725,0.727,0.711,0.564,0.655,0.297,0.459
104,Rio Ave,All comps,23/24,0.267,0.216,0.390,0.022,0.527,0.278,0.828
105,RKC Waalwijk,All comps,23/24,0.267,0.358,0.235,0.824,0.166,0.893,0.136
106,Roma,All comps,23/24,0.709,0.430,0.680,0.396,0.749,0.614,0.309
107,Salernitana,All comps,23/24,0.053,0.015,0.245,0.389,0.106,0.240,0.046
108,Sassuolo,All comps,23/24,0.328,0.389,0.247,0.564,0.219,0.015,0.061
109,Sevilla,All comps,23/24,0.450,0.394,0.517,0.114,0.482,0.966,0.429
110,Sheffield United,All comps,23/24,0.114,0.099,0.044,0.541,0.012,0.152,0.008
111,Sparta Rotterdam,All comps,23/24,0.557,0.570,0.447,0.832,0.392,0.634,0.188
112,Sporting Braga,All comps,23/24,0.839,0.865,0.780,0.297,0.587,0.259,0.835
113,Sporting CP,All comps,23/24,0.984,0.944,0.856,0.900,0.944,0.794,0.918
114,Strasbourg,All comps,23/24,0.381,0.224,0.387,0.801,0.670,0.675,0.166
115,Stuttgart,All comps,23/24,0.923,0.905,0.914,0.679,0.817,0.687,0.564
116,Torino,All comps,23/24,0.106,0.246,0.661,0.083,0.877,0.427,0.655
117,Tottenham Hotspur,All comps,23/24,0.763,0.854,0.879,0.854,0.459,0.267,0.963
118,Toulouse,All comps,23/24,0.419,0.432,0.453,0.748,0.580,0.561,0.587
