1,Arsenal,Premier League,24/25,0.954,0.939,0.889,0.702,0.977,0.5,0.901
2,Aston Villa,Premier League,24/25,0.817,0.73,0.606,0.779,0.309,0.111,0.107
3,Bournemouth,Premier League,24/25,0.489,0.72,0.285,0.87,0.176,0.221,0.847
4,Brentford,Premier League,24/25,0.565,0.628,0.234,0.519,0.214,0.431,0.802
5,Brighton,Premier League,24/25,0.534,0.771,0.87,0.008,0.332,0.515,0.664
6,Chelsea,Premier League,24/25,0.832,0.822,0.827,0.893,0.221,0.393,0.672
7,Crystal Palace,Premier League,24/25,0.603,0.412,0.255,0.702,0.477,0.748,0.26
8,Everton,Premier League,24/25,0.153,0.471,0.163,0.542,0.443,0.763,0.267
9,Fulham,Premier League,24/25,0.534,0.562,0.556,0.924,0.218,0.569,0.16
10,Ipswich Town,Premier League,24/25,0.817,0.794,0.656,0.527,0.668,0.557,0.809
11,Leicester City,Premier League,24/25,0.763,0.809,0.899,0.794,0.855,0.763,0.786
12,Liverpool,Premier League,24/25,0.901,0.975,0.899,0.985,0.718,0.561,0.977
13,Manchester City,Premier League,24/25,0.962,0.975,0.992,0.229,0.905,0.828,0.71
14,Manchester United,Premier League,24/25,0.603,0.733,0.592,0.977,0.218,0.309,0.489
15,Newcastle United,Premier League,24/25,0.893,0.865,0.588,0.641,0.191,0.469,0.687
16,Nottingham Forest,Premier League,24/25,0.397,0.338,0.174,0.916,0.271,0.592,0.0
17,Southampton,Premier League,24/25,0.733,0.845,0.95,0.038,0.687,0.374,0.779
18,Tottenham Hotspur,Premier League,24/25,0.779,0.863,0.87,0.847,0.382,0.298,0.969
19,West Ham United,Premier League,24/25,0.656,0.384,0.226,0.229,0.042,0.447,0.008
20,Wolverhampton Wanderers,Premier League,24/25,0.405,0.382,0.487,0.817,0.137,0.389,0.534
21,Angers SCO,Ligue 1,24/25,0.565,0.265,0.565,0.664,0.576,0.576,0.763
22,Auxerre,Ligue 1,24/25,0.756,0.692,0.798,0.061,0.844,0.5,0.824
23,Brest,Ligue 1,24/25,0.649,0.573,0.689,0.107,0.737,0.855,0.832
24,Le Havre,Ligue 1,24/25,0.13,0.145,0.311,0.649,0.412,0.26,0.137
25,Lens,Ligue 1,24/25,0.42,0.7,0.678,0.74,0.656,0.401,0.611
26,Lille,Ligue 1,24/25,0.626,0.639,0.748,0.504,0.779,0.385,0.573
27,Monaco,Ligue 1,24/25,0.817,0.873,0.704,0.908,0.538,0.416,0.939
28,Montpellier,Ligue 1,24/25,0.374,0.463,0.24,1.0,0.298,0.244,0.237
29,Nantes,Ligue 1,24/25,0.053,0.316,0.321,0.992,0.385,0.141,0.038
30,Nice,Ligue 1,24/25,0.275,0.585,0.716,0.237,0.908,0.672,0.527
31,Olympique Lyonnais,Ligue 1,24/25,0.511,0.69,0.695,0.573,0.256,0.359,0.397
32,Olympique Marseille,Ligue 1,24/25,0.626,0.662,0.689,0.863,0.679,0.542,0.58
33,PSG,Ligue 1,24/25,0.947,0.878,0.971,0.954,0.653,0.485,0.947
34,Reims,Ligue 1,24/25,0.344,0.384,0.527,0.679,0.546,0.439,0.588
35,Rennes,Ligue 1,24/25,0.649,0.71,0.684,0.84,0.462,0.237,0.458
36,Saint-Étienne,Ligue 1,24/25,0.382,0.471,0.58,0.328,0.901,0.668,0.74
37,Strasbourg,Ligue 1,24/25,0.237,0.122,0.342,0.71,0.511,0.618,0.145
38,Toulouse,Ligue 1,24/25,0.344,0.399,0.461,0.84,0.511,0.569,0.443
39,Augsburg,Bundesliga,24/25,0.542,0.476,0.266,0.435,0.153,0.313,0.45
40,Bayer Leverkusen,Bundesliga,24/25,0.977,0.952,0.959,0.962,0.943,0.874,0.405
41,Bayern München,Bundesliga,24/25,0.969,0.962,0.965,0.718,0.668,0.95,0.542
42,Bochum,Bundesliga,24/25,0.321,0.511,0.237,0.534,0.034,0.607,0.908
43,Borussia Dortmund,Bundesliga,24/25,0.855,0.822,0.812,0.786,0.595,0.729,0.519
44,Borussia Mgladbach,Bundesliga,24/25,0.687,0.555,0.429,0.305,0.053,0.607,0.031
45,Darmstadt 98,Bundesliga,24/25,0.061,0.071,0.292,0.198,0.011,0.542,0.206
46,Eintracht Frankfurt,Bundesliga,24/25,0.603,0.466,0.583,0.863,0.458,0.603,0.252
47,Freiburg,Bundesliga,24/25,0.435,0.45,0.371,0.168,0.267,0.477,0.061
48,Heidenheim,Bundesliga,24/25,0.573,0.265,0.122,0.809,0.187,0.775,0.176
49,Hoffenheim,Bundesliga,24/25,0.771,0.631,0.511,0.679,0.05,0.553,0.214
50,Köln,Bundesliga,24/25,0.031,0.333,0.292,0.771,0.206,0.637,0.13
51,Mainz 05,Bundesliga,24/25,0.191,0.473,0.29,0.29,0.481,0.26,0.695
52,RB Leipzig,Bundesliga,24/25,0.916,0.847,0.736,0.969,0.775,0.805,0.55
53,Stuttgart,Bundesliga,24/25,0.931,0.885,0.893,0.573,0.718,0.58,0.481
54,Union Berlin,Bundesliga,24/25,0.107,0.249,0.217,0.908,0.244,0.523,0.115
55,Werder Bremen,Bundesliga,24/25,0.496,0.318,0.353,0.748,0.279,0.313,0.069
56,Wolfsburg,Bundesliga,24/25,0.305,0.399,0.429,0.206,0.347,0.466,0.221
57,Atalanta,Serie A,24/25,0.756,0.761,0.612,0.412,0.721,0.885,0.618
58,Bologna,Serie A,24/25,0.489,0.333,0.789,0.084,0.885,0.637,0.725
59,Cagliari,Serie A,24/25,0.206,0.232,0.089,0.641,0.324,0.389,0.053
60,Empoli,Serie A,24/25,0.008,0.087,0.116,0.191,0.298,0.069,0.412
61,Fiorentina,Serie A,24/25,0.679,0.601,0.774,0.023,0.668,0.668,0.863
62,Frosinone,Serie A,24/25,0.267,0.333,0.386,0.397,0.218,0.126,0.42
63,Genoa,Serie A,24/25,0.29,0.079,0.183,0.191,0.74,0.706,0.168
64,Hellas Verona,Serie A,24/25,0.13,0.17,0.119,0.229,0.511,0.832,0.626
65,Internazionale,Serie A,24/25,0.939,0.852,0.8,0.947,0.973,0.802,0.504
66,Juventus,Serie A,24/25,0.489,0.527,0.527,0.733,0.916,0.714,0.275
67,Lazio,Serie A,24/25,0.397,0.374,0.675,0.756,0.721,0.08,0.191
68,Lecce,Serie A,24/25,0.023,0.244,0.2,0.473,0.393,0.458,0.496
69,Milan,Serie A,24/25,0.817,0.761,0.769,0.733,0.542,0.79,0.656
70,Monza,Serie A,24/25,0.137,0.17,0.629,0.374,0.405,0.286,0.122
71,Napoli,Serie A,24/25,0.534,0.817,0.89,0.427,0.74,0.531,0.87
72,Roma,Serie A,24/25,0.71,0.448,0.676,0.443,0.615,0.45,0.328
73,Salernitana,Serie A,24/25,0.023,0.01,0.173,0.321,0.053,0.237,0.015
74,Sassuolo,Serie A,24/25,0.244,0.265,0.177,0.664,0.153,0.023,0.023
75,Torino,Serie A,24/25,0.084,0.107,0.585,0.061,0.813,0.405,0.565
76,Udinese,Serie A,24/25,0.115,0.12,0.053,0.802,0.523,0.538,0.076
77,Ajax,Eredivisie,24/25,0.878,0.908,0.882,0.275,0.218,0.954,0.634
78,Almere City,Eredivisie,24/25,0.107,0.206,0.174,0.145,0.107,0.378,0.855
79,AZ,Eredivisie,24/25,0.847,0.763,0.739,0.359,0.744,0.309,0.679
80,Feyenoord,Eredivisie,24/25,0.985,0.99,0.882,0.282,0.958,0.985,0.954
81,Fortuna Sittard,Eredivisie,24/25,0.183,0.509,0.176,0.389,0.302,0.893,0.359
82,Go Ahead Eagles,Eredivisie,24/25,0.466,0.756,0.289,0.16,0.366,0.179,0.183
83,Groningen,Eredivisie,24/25,0.74,0.789,0.566,0.252,0.958,0.844,0.924
84,Heerenveen,Eredivisie,24/25,0.649,0.649,0.553,0.275,0.118,0.466,0.244
85,Heracles,Eredivisie,24/25,0.305,0.244,0.223,0.611,0.008,0.328,0.046
86,NAC Breda,Eredivisie,24/25,0.695,0.55,0.573,0.153,0.55,0.885,0.649
87,NEC,Eredivisie,24/25,0.786,0.603,0.405,0.244,0.263,0.55,0.084
88,PEC Zwolle,Eredivisie,24/25,0.42,0.417,0.331,0.275,0.05,0.573,0.198
89,PSV,Eredivisie,24/25,1.0,1.0,0.921,0.878,0.985,0.989,0.962
90,RKC Waalwijk,Eredivisie,24/25,0.237,0.361,0.237,0.84,0.126,0.859,0.099
91,Sparta Rotterdam,Eredivisie,24/25,0.58,0.557,0.379,0.885,0.344,0.576,0.153
92,Twente,Eredivisie,24/25,0.84,0.794,0.681,0.389,0.748,0.439,0.756
93,Utrecht,Eredivisie,24/25,0.55,0.623,0.366,0.458,0.336,0.576,0.557
94,Willem II,Eredivisie,24/25,0.832,0.626,0.53,0.298,0.87,0.802,0.374
95,Arouca,Primeira Liga,24/25,0.664,0.433,0.569,0.45,0.439,0.233,0.718
96,Benfica,Primeira Liga,24/25,0.908,0.957,0.844,0.939,0.905,0.427,0.916
97,Boavista,Primeira Liga,24/25,0.26,0.074,0.22,0.359,0.13,0.198,0.351
98,Casa Pia AC,Primeira Liga,24/25,0.237,0.056,0.15,0.611,0.382,0.046,0.298
99,Chaves,Primeira Liga,24/25,0.069,0.033,0.084,0.069,0.05,0.279,0.389
100,Estoril,Primeira Liga,24/25,0.511,0.237,0.34,0.359,0.187,0.08,0.435
101,Estrela Amadora,Primeira Liga,24/25,0.107,0.127,0.173,0.573,0.37,0.374,0.473
102,Famalicão,Primeira Liga,24/25,0.183,0.148,0.284,0.015,0.504,0.63,0.603
103,Farense,Primeira Liga,24/25,0.458,0.26,0.032,0.618,0.214,0.092,0.336
104,Gil Vicente,Primeira Liga,24/25,0.344,0.153,0.337,0.145,0.378,0.313,0.321
105,Moreirense,Primeira Liga,24/25,0.168,0.038,0.238,0.611,0.779,0.263,0.466
106,Portimonense,Primeira Liga,24/25,0.26,0.084,0.115,0.763,0.073,0.225,0.382
107,Porto,Primeira Liga,24/25,0.725,0.873,0.82,0.359,0.962,0.561,1.0
108,Rio Ave,Primeira Liga,24/25,0.237,0.165,0.304,0.031,0.405,0.313,0.733
109,Sporting Braga,Primeira Liga,24/25,0.87,0.863,0.737,0.481,0.496,0.282,0.878
110,Sporting CP,Primeira Liga,24/25,0.992,0.934,0.829,0.931,0.947,0.656,0.885
111,Vitória Guimarães,Primeira Liga,24/25,0.626,0.453,0.304,0.611,0.748,0.534,0.771
112,Vizela,Primeira Liga,24/25,0.168,0.318,0.376,0.076,0.153,0.073,0.702
113,Athletic Bilbao,La Liga,24/25,0.679,0.529,0.485,0.496,0.794,0.347,0.748
114,Atlético Madrid,La Liga,24/25,0.718,0.72,0.655,0.122,0.698,0.698,0.282
115,Barcelona,La Liga,24/25,0.863,0.875,0.924,0.412,0.744,0.775,0.992
116,Celta de Vigo,La Liga,24/25,0.313,0.377,0.34,0.58,0.401,0.313,0.229
117,Deportivo Alavés,La Liga,24/25,0.084,0.285,0.066,0.496,0.645,0.324,0.29
118,Espanyol,La Liga,24/25,0.45,0.318,0.469,0.13,0.874,0.618,0.84
119,Getafe,La Liga,24/25,0.206,0.26,0.16,0.099,0.385,0.229,0.817
120,Girona,La Liga,24/25,0.893,0.768,0.782,0.374,0.511,0.305,0.427
121,Las Palmas,La Liga,24/25,0.046,0.066,0.725,0.0,0.592,0.427,0.794
122,Leganés,La Liga,24/25,0.435,0.178,0.295,0.466,0.962,0.485,0.305
123,Mallorca,La Liga,24/25,0.046,0.145,0.179,0.099,0.664,0.649,0.641
124,Osasuna,La Liga,24/25,0.29,0.193,0.383,0.191,0.481,0.527,0.595
125,Rayo Vallecano,La Liga,24/25,0.008,0.275,0.305,0.321,0.615,0.145,0.931
126,Real Betis,La Liga,24/25,0.366,0.509,0.554,0.641,0.618,0.393,0.344
127,Real Madrid,La Liga,24/25,0.924,0.906,0.922,0.702,0.954,0.802,0.511
128,Real Sociedad,La Liga,24/25,0.443,0.26,0.621,0.122,0.809,0.656,0.985
129,Real Valladolid,La Liga,24/25,0.351,0.372,0.58,0.55,0.859,0.763,0.893
130,Sevilla,La Liga,24/25,0.366,0.422,0.524,0.061,0.363,0.912,0.366
131,Valencia,La Liga,24/25,0.153,0.046,0.165,0.427,0.615,0.447,0.092
132,Villarreal,La Liga,24/25,0.71,0.532,0.499,0.519,0.13,0.573,0.313
﻿133,Arsenal,Premier League,24/25,0.954,0.939,0.889,0.702,0.977,0.5,0.901
134,Aston Villa,Premier League,24/25,0.817,0.73,0.606,0.779,0.309,0.111,0.107
135,Bournemouth,Premier League,24/25,0.489,0.72,0.285,0.87,0.176,0.221,0.847
136,Brentford,Premier League,24/25,0.565,0.628,0.234,0.519,0.214,0.431,0.802
137,Brighton,Premier League,24/25,0.534,0.771,0.87,0.008,0.332,0.515,0.664
138,Chelsea,Premier League,24/25,0.832,0.822,0.827,0.893,0.221,0.393,0.672
139,Crystal Palace,Premier League,24/25,0.603,0.412,0.255,0.702,0.477,0.748,0.26
140,Everton,Premier League,24/25,0.153,0.471,0.163,0.542,0.443,0.763,0.267
141,Fulham,Premier League,24/25,0.534,0.562,0.556,0.924,0.218,0.569,0.16
142,Ipswich Town,Premier League,24/25,0.817,0.794,0.656,0.527,0.668,0.557,0.809
143,Leicester City,Premier League,24/25,0.763,0.809,0.899,0.794,0.855,0.763,0.786
144,Liverpool,Premier League,24/25,0.901,0.975,0.899,0.985,0.718,0.561,0.977
145,Manchester City,Premier League,24/25,0.962,0.975,0.992,0.229,0.905,0.828,0.71
146,Manchester United,Premier League,24/25,0.603,0.733,0.592,0.977,0.218,0.309,0.489
147,Newcastle United,Premier League,24/25,0.893,0.865,0.588,0.641,0.191,0.469,0.687
148,Nottingham Forest,Premier League,24/25,0.397,0.338,0.174,0.916,0.271,0.592,0
149,Southampton,Premier League,24/25,0.733,0.845,0.95,0.038,0.687,0.374,0.779
150,Tottenham Hotspur,Premier League,24/25,0.779,0.863,0.87,0.847,0.382,0.298,0.969
151,West Ham United,Premier League,24/25,0.656,0.384,0.226,0.229,0.042,0.447,0.008
152,Wolverhampton Wanderers,Premier League,24/25,0.405,0.382,0.487,0.817,0.137,0.389,0.534
153,Angers SCO,Ligue 1,24/25,0.565,0.265,0.565,0.664,0.576,0.576,0.763
154,Auxerre,Ligue 1,24/25,0.756,0.692,0.798,0.061,0.844,0.5,0.824
155,Brest,Ligue 1,24/25,0.649,0.573,0.689,0.107,0.737,0.855,0.832
156,Le Havre,Ligue 1,24/25,0.13,0.145,0.311,0.649,0.412,0.26,0.137
157,Lens,Ligue 1,24/25,0.42,0.7,0.678,0.74,0.656,0.401,0.611
158,Lille,Ligue 1,24/25,0.626,0.639,0.748,0.504,0.779,0.385,0.573
159,Monaco,Ligue 1,24/25,0.817,0.873,0.704,0.908,0.538,0.416,0.939
160,Montpellier,Ligue 1,24/25,0.374,0.463,0.24,1,0.298,0.244,0.237
161,Nantes,Ligue 1,24/25,0.053,0.316,0.321,0.992,0.385,0.141,0.038
162,Nice,Ligue 1,24/25,0.275,0.585,0.716,0.237,0.908,0.672,0.527
163,Olympique Lyonnais,Ligue 1,24/25,0.511,0.69,0.695,0.573,0.256,0.359,0.397
164,Olympique Marseille,Ligue 1,24/25,0.626,0.662,0.689,0.863,0.679,0.542,0.58
165,PSG,Ligue 1,24/25,0.947,0.878,0.971,0.954,0.653,0.485,0.947
166,Reims,Ligue 1,24/25,0.344,0.384,0.527,0.679,0.546,0.439,0.588
167,Rennes,Ligue 1,24/25,0.649,0.71,0.684,0.84,0.462,0.237,0.458
168,Saint-Étienne,Ligue 1,24/25,0.382,0.471,0.58,0.328,0.901,0.668,0.74
169,Strasbourg,Ligue 1,24/25,0.237,0.122,0.342,0.71,0.511,0.618,0.145
170,Toulouse,Ligue 1,24/25,0.344,0.399,0.461,0.84,0.511,0.569,0.443
171,Augsburg,Bundesliga,24/25,0.542,0.476,0.266,0.435,0.153,0.313,0.45
172,Bayer Leverkusen,Bundesliga,24/25,0.977,0.952,0.959,0.962,0.943,0.874,0.405
173,Bayern München,Bundesliga,24/25,0.969,0.962,0.965,0.718,0.668,0.95,0.542
174,Bochum,Bundesliga,24/25,0.321,0.511,0.237,0.534,0.034,0.607,0.908
175,Borussia Dortmund,Bundesliga,24/25,0.855,0.822,0.812,0.786,0.595,0.729,0.519
176,Borussia Mgladbach,Bundesliga,24/25,0.687,0.555,0.429,0.305,0.053,0.607,0.031
177,Darmstadt 98,Bundesliga,24/25,0.061,0.071,0.292,0.198,0.011,0.542,0.206
178,Eintracht Frankfurt,Bundesliga,24/25,0.603,0.466,0.583,0.863,0.458,0.603,0.252
179,Freiburg,Bundesliga,24/25,0.435,0.45,0.371,0.168,0.267,0.477,0.061
180,Heidenheim,Bundesliga,24/25,0.573,0.265,0.122,0.809,0.187,0.775,0.176
181,Hoffenheim,Bundesliga,24/25,0.771,0.631,0.511,0.679,0.05,0.553,0.214
182,Köln,Bundesliga,24/25,0.031,0.333,0.292,0.771,0.206,0.637,0.13
183,Mainz 05,Bundesliga,24/25,0.191,0.473,0.29,0.29,0.481,0.26,0.695
184,RB Leipzig,Bundesliga,24/25,0.916,0.847,0.736,0.969,0.775,0.805,0.55
185,Stuttgart,Bundesliga,24/25,0.931,0.885,0.893,0.573,0.718,0.58,0.481
186,Union Berlin,Bundesliga,24/25,0.107,0.249,0.217,0.908,0.244,0.523,0.115
187,Werder Bremen,Bundesliga,24/25,0.496,0.318,0.353,0.748,0.279,0.313,0.069
188,Wolfsburg,Bundesliga,24/25,0.305,0.399,0.429,0.206,0.347,0.466,0.221
189,Atalanta,Serie A,24/25,0.756,0.761,0.612,0.412,0.721,0.885,0.618
190,Bologna,Serie A,24/25,0.489,0.333,0.789,0.084,0.885,0.637,0.725
191,Cagliari,Serie A,24/25,0.206,0.232,0.089,0.641,0.324,0.389,0.053
192,Empoli,Serie A,24/25,0.008,0.087,0.116,0.191,0.298,0.069,0.412
193,Fiorentina,Serie A,24/25,0.679,0.601,0.774,0.023,0.668,0.668,0.863
194,Frosinone,Serie A,24/25,0.267,0.333,0.386,0.397,0.218,0.126,0.42
