1,Arsenal,Premier League,1.83,1.9,4.52,34.75,416.24,87.71,55.43,32.9,0.86,29.17,0.83,3.34,55.97,61.8,30.9,48.33,5.27,9.46
2,Aston Villa,Premier League,1.41,1.53,3.93,33.93,367.76,86.45,51.62,25.79,1.07,20.97,1.55,4.28,63.34,59.12,27.1,45.42,4.69,12.19
3,Bournemouth,Premier League,1.66,1.92,5.59,36.49,308.48,81.22,48.15,31.72,1.34,23.86,1.24,4.97,80.97,61.63,39.55,43.24,3.64,9.23
4,Brentford,Premier League,1.72,1.5,4.69,43.17,337.28,82.56,48.55,26.41,1.48,21.17,1.55,5.83,65.93,62.24,38.07,49.18,4.27,12.53
5,Brighton,Premier League,1.66,1.69,4.69,36.56,382.62,85.55,52.93,28.76,0.72,23.45,1.45,3.76,64.9,61.48,32.83,48.11,4.62,9.89
6,Chelsea,Premier League,1.83,2.0,5.48,37.41,457.69,87.45,57.54,29.45,1.66,25.79,1.28,4.62,59.76,59.03,24.79,46.31,5.59,11.42
7,Crystal Palace,Premier League,1.29,1.6,4.75,37.46,301.89,80.14,43.61,25.04,1.14,18.57,1.18,4.04,73.96,63.4,39.61,43.1,3.85,12.26
8,Everton,Premier League,1.1,1.2,3.66,37.19,281.21,80.99,42.34,27.03,0.93,15.76,1.24,4.1,69.86,62.98,38.86,45.79,3.6,14.58
9,Fulham,Premier League,1.48,1.55,4.48,34.85,410.93,85.64,52.33,29.24,1.9,22.69,1.31,4.07,64.72,61.59,33.45,44.54,5.02,13.41
10,Ipswich Town,Premier League,0.97,1.05,3.48,38.11,291.52,83.2,41.67,20.93,0.62,13.72,2.14,5.66,69.93,59.76,33.62,48.0,3.86,14.69
11,Leicester City,Premier League,0.86,1.04,3.0,35.66,345.0,84.13,46.03,24.07,0.55,14.48,2.24,5.72,76.24,62.14,34.72,41.91,4.32,13.81
12,Liverpool,Premier League,2.38,2.29,6.14,38.12,448.48,86.82,56.92,33.24,1.31,29.55,0.93,3.41,69.28,58.84,26.28,48.03,5.31,9.87
13,Manchester City,Premier League,1.9,1.84,5.59,36.57,519.72,89.73,61.39,33.14,0.52,31.97,1.38,3.86,51.59,60.23,20.55,48.66,6.58,12.56
14,Manchester United,Premier League,1.28,1.5,4.48,36.52,413.38,85.7,52.38,26.66,1.07,20.0,1.38,4.03,66.93,63.52,29.0,45.18,5.15,11.43
15,Newcastle United,Premier League,1.68,1.77,4.29,34.99,363.21,83.9,49.04,27.5,1.61,23.07,1.36,4.75,64.43,56.82,29.79,45.8,4.35,10.37
16,Nottingham Forest,Premier League,1.69,1.59,4.55,39.52,265.69,81.91,38.92,24.59,1.93,17.69,1.21,4.41,71.55,59.66,37.1,44.42,3.54,14.99
17,Southampton,Premier League,0.72,1.08,3.0,35.37,399.76,87.73,49.97,22.9,0.55,15.79,2.41,6.97,73.38,60.71,27.72,46.14,5.11,13.88
18,Tottenham Hotspur,Premier League,1.9,1.74,5.17,39.58,416.0,85.48,56.03,29.21,1.59,25.83,1.48,4.79,64.59,59.37,27.21,43.85,4.78,9.8
19,West Ham United,Premier League,1.14,1.42,3.59,30.77,347.79,84.55,46.56,26.55,1.03,19.28,1.69,5.07,65.59,60.46,38.76,45.28,4.37,12.37
20,Wolverhampton,Premier League,1.38,1.15,4.24,41.69,344.0,84.0,48.33,24.97,1.34,16.14,2.0,4.93,73.79,61.78,30.62,42.34,4.31,11.47
21,Angers SCO,Ligue 1,1.0,1.12,2.88,32.47,319.12,82.34,41.87,24.0,1.12,12.96,1.62,5.85,70.38,59.13,29.27,42.18,4.0,15.58
22,Auxerre,Ligue 1,1.42,1.26,4.58,42.65,297.08,80.65,43.95,24.62,1.04,14.69,1.5,5.23,69.81,63.03,33.0,45.8,3.66,14.9
23,Brest,Ligue 1,1.46,1.59,4.88,42.62,361.35,83.99,49.07,28.04,1.19,15.65,1.54,4.23,68.69,62.71,39.73,47.92,4.27,12.02
24,Le Havre,Ligue 1,1.0,1.19,3.15,35.04,305.0,82.04,43.4,23.08,1.04,14.46,2.12,5.54,68.15,63.6,32.81,47.95,3.95,16.49
25,Lens,Ligue 1,1.19,1.56,4.15,34.07,405.08,83.6,51.76,32.58,0.88,21.35,1.12,4.12,75.54,61.86,33.15,46.75,4.78,9.51
26,Lille,Ligue 1,1.54,1.73,5.0,41.27,473.04,87.2,57.65,34.15,0.88,23.54,1.08,3.85,69.62,61.33,27.35,49.37,5.59,9.34
27,Monaco,Ligue 1,1.96,2.22,5.42,37.5,412.62,84.07,54.54,33.19,1.62,25.38,1.23,4.04,73.81,62.43,32.12,45.27,4.61,8.24
28,Montpellier,Ligue 1,0.84,1.18,3.76,35.07,309.0,81.37,46.0,25.16,1.08,13.8,2.36,6.16,70.76,62.52,33.28,42.79,3.78,13.84
29,Nantes,Ligue 1,1.12,1.36,3.81,39.29,307.0,82.45,40.26,25.69,1.92,16.81,1.65,4.73,72.31,61.12,31.85,42.87,3.75,17.43
30,Nice,Ligue 1,1.92,1.88,5.35,41.87,362.04,84.33,46.47,27.58,1.54,22.42,1.19,4.92,70.38,63.93,29.27,47.7,4.31,12.07
31,Olympique Lyonnais,Ligue 1,1.92,1.75,5.31,46.31,442.12,85.57,55.56,33.0,1.08,24.5,1.27,5.15,69.58,60.36,25.58,40.75,5.23,10.42
32,Olympique Marseille,Ligue 1,2.04,1.94,5.81,44.15,589.85,89.53,62.96,29.42,1.35,20.65,1.27,4.15,60.04,62.97,21.0,48.35,7.21,12.23
33,PSG,Ligue 1,2.81,2.45,8.27,47.78,648.65,90.6,66.52,37.96,1.08,31.58,0.96,3.54,65.27,64.7,18.88,52.14,7.3,8.34
34,Reims,Ligue 1,1.0,1.22,3.42,31.79,336.31,83.47,46.83,27.46,1.46,16.46,1.54,5.46,65.96,62.04,29.81,38.19,4.1,14.91
35,Rennes,Ligue 1,1.35,1.64,4.73,39.94,380.92,84.46,50.92,29.88,1.15,19.31,1.42,4.08,68.58,62.87,32.31,47.14,4.41,10.62
36,Saint-Étienne,Ligue 1,1.0,1.22,3.32,34.73,367.72,84.27,44.83,25.8,1.44,14.48,2.28,6.48,77.12,61.1,28.48,43.12,4.47,14.16
37,Strasbourg,Ligue 1,1.58,1.39,4.23,43.48,409.88,86.24,50.85,22.5,0.96,14.62,1.27,5.0,66.73,64.9,26.0,47.93,4.91,13.42
38,Toulouse,Ligue 1,1.27,1.68,4.5,41.79,329.77,81.76,46.2,28.23,1.38,19.08,1.12,3.12,69.5,62.65,32.31,43.93,4.02,13.27
39,Augsburg,Bundesliga,1.12,1.18,3.42,33.09,308.73,81.29,44.15,26.54,0.58,17.46,1.35,4.46,54.77,61.24,39.19,49.66,3.76,13.39
40,Bayer Leverkusen,Bundesliga,2.27,2.08,5.81,39.02,513.35,87.54,57.41,35.12,0.96,25.46,1.27,4.08,47.77,62.0,31.04,49.32,5.87,12.83
41,Bayern München,Bundesliga,2.96,2.46,7.8,43.92,658.92,90.2,67.78,40.28,0.68,29.72,0.92,2.08,50.28,66.98,26.96,53.12,7.51,9.22
42,Bochum,Bundesliga,1.0,1.29,4.0,33.55,270.65,78.35,44.07,25.73,1.08,16.15,2.04,4.81,68.04,61.9,51.96,44.71,3.39,11.65
43,Borussia Dortmund,Bundesliga,1.72,1.79,4.72,35.33,503.8,87.7,62.12,31.48,1.48,22.96,1.6,4.16,56.52,64.9,34.4,46.16,5.73,10.04
44,Borussia Mgladbach,Bundesliga,1.6,1.61,4.96,44.44,411.24,84.28,50.21,23.84,1.6,18.0,1.52,5.28,61.2,60.13,34.72,49.54,4.95,14.8
45,Eintracht Frankfurt,Bundesliga,2.08,1.97,5.38,38.78,395.27,84.7,49.57,28.42,1.54,21.77,1.54,5.73,61.54,63.56,32.15,42.82,4.63,14.83
46,Freiburg,Bundesliga,1.38,1.51,4.08,36.18,363.88,83.26,48.42,27.15,0.88,15.92,1.46,4.62,58.35,64.86,42.0,44.6,4.59,14.48
47,Heidenheim,Bundesliga,1.16,1.38,3.92,35.51,297.16,79.92,44.31,25.16,0.84,15.64,1.96,5.4,73.28,65.67,44.0,44.45,3.52,15.38
48,Hoffenheim,Bundesliga,1.23,1.29,4.46,38.03,365.69,81.75,50.0,30.31,0.69,19.81,1.85,5.27,66.81,65.46,42.73,44.28,4.33,12.23
49,Holstein Kiel,Bundesliga,1.46,1.18,4.12,41.47,298.15,81.01,44.68,18.77,1.08,13.65,2.42,6.15,64.15,60.85,43.88,46.54,3.73,13.32
50,Mainz 05,Bundesliga,1.69,1.46,4.19,40.07,347.65,80.72,48.53,28.85,0.85,18.92,1.08,4.46,59.12,63.57,49.27,44.26,4.2,10.45
51,RB Leipzig,Bundesliga,1.58,1.58,4.38,38.91,409.23,83.77,51.29,27.46,1.46,18.85,1.27,4.92,62.92,61.12,37.04,45.9,4.92,11.35
52,St. Pauli,Bundesliga,0.77,1.12,3.12,30.68,327.69,81.55,44.3,26.77,0.54,15.81,1.15,4.15,63.62,65.54,42.04,39.34,4.01,14.88
53,Stuttgart,Bundesliga,1.81,1.92,5.23,43.59,442.85,85.94,56.23,30.38,0.77,22.38,1.65,4.42,60.35,63.73,35.12,46.0,5.09,10.36
54,Union Berlin,Bundesliga,0.92,1.3,3.38,29.53,294.42,79.41,42.39,27.42,0.85,18.08,1.46,4.23,61.19,61.97,49.58,45.85,3.74,13.77
55,Werder Bremen,Bundesliga,1.54,1.53,4.0,36.24,390.27,83.1,49.36,28.88,1.31,19.96,2.04,5.27,58.85,62.88,34.73,45.85,4.6,13.31
56,Wolfsburg,Bundesliga,1.88,1.58,4.38,37.01,316.96,81.3,46.12,26.65,1.08,17.15,1.54,4.77,59.73,61.88,38.31,45.68,3.9,14.43
57,Atalanta,Serie A,2.17,2.11,5.45,40.72,447.59,86.54,54.65,33.41,1.07,23.83,0.97,3.9,65.79,64.26,33.34,52.43,5.35,10.71
58,Bologna,Serie A,1.69,1.57,4.72,37.85,397.1,85.76,58.88,30.45,0.9,18.48,1.17,2.83,67.52,60.01,37.45,43.92,4.59,8.17
59,Cagliari,Serie A,0.97,1.22,3.28,30.35,306.59,82.0,43.97,24.69,0.48,15.21,1.52,4.55,67.66,61.11,39.9,43.91,3.77,15.38
60,Como,Serie A,1.21,1.26,4.52,37.32,377.83,85.18,52.8,27.41,0.86,17.66,1.59,3.76,68.59,61.14,29.66,46.4,4.55,11.18
61,Empoli,Serie A,0.79,0.89,2.76,32.26,249.83,78.65,41.65,22.14,1.28,12.21,1.59,4.52,75.21,61.16,40.03,39.45,3.15,12.92
62,Fiorentina,Serie A,1.59,1.51,4.31,39.56,337.93,84.39,48.83,22.69,1.07,15.41,1.03,4.0,57.86,60.31,33.83,45.46,4.27,13.54
63,Genoa,Serie A,0.97,1.16,3.07,32.25,296.83,82.4,46.14,24.41,0.86,14.45,1.28,4.1,69.86,64.22,46.17,44.88,3.73,11.98
64,Hellas Verona,Serie A,1.0,1.01,2.79,30.0,244.69,79.34,38.71,21.83,1.07,12.0,2.0,5.21,75.17,61.1,41.17,43.38,3.51,14.16
65,Internazionale,Serie A,2.24,2.18,5.38,36.03,474.31,88.6,58.16,29.52,1.55,23.83,0.93,3.52,57.21,62.87,33.97,54.42,6.05,10.2
66,Juventus,Serie A,1.55,1.6,4.69,36.07,481.0,89.47,58.05,29.0,0.97,19.41,0.97,3.03,59.24,59.66,28.66,44.52,6.2,10.59
67,Lazio,Serie A,1.72,1.66,5.1,39.68,402.9,87.37,54.35,29.45,1.0,21.1,1.41,3.17,59.0,59.85,32.86,42.5,4.96,12.13
68,Lecce,Serie A,0.72,0.97,3.07,28.99,297.31,82.22,46.05,24.72,1.07,12.86,1.66,5.03,68.48,62.13,42.14,47.87,3.59,12.82
69,Milan,Serie A,1.52,1.79,5.07,36.48,401.79,87.62,55.18,27.45,1.66,22.17,1.14,3.86,58.66,60.2,27.97,49.94,5.14,12.21
70,Monza,Serie A,0.83,0.83,2.55,32.31,338.79,85.17,47.18,19.93,0.62,10.83,1.69,4.93,67.76,60.41,41.72,43.14,4.31,13.7
71,Napoli,Serie A,1.55,1.59,4.1,32.34,412.45,86.86,52.49,28.9,0.79,20.79,0.79,2.86,59.38,60.98,29.9,49.37,5.12,12.24
72,Parma,Serie A,1.21,1.3,3.97,35.17,318.31,83.9,45.24,24.69,1.38,15.07,1.69,4.59,63.45,59.95,32.93,44.4,3.93,15.25
73,Roma,Serie A,1.52,1.59,4.41,33.33,441.0,87.41,54.35,29.66,1.0,20.24,1.03,4.1,59.28,60.85,28.48,45.64,5.41,12.12
74,Torino,Serie A,1.17,1.12,3.45,36.76,339.55,83.77,48.92,23.17,0.62,13.83,1.17,4.93,60.79,58.65,35.66,43.04,4.47,12.98
75,Udinese,Serie A,1.21,1.28,3.59,34.9,322.41,83.35,48.96,25.83,0.9,14.55,1.34,4.14,59.31,60.52,34.55,50.1,4.15,12.8
76,Venezia,Serie A,0.79,1.03,3.07,32.6,284.14,81.01,45.44,23.03,0.79,13.72,1.45,5.34,72.52,58.77,33.07,43.9,3.56,13.41
77,Ajax,Eredivisie,2.12,1.82,5.35,42.38,491.15,88.1,55.85,31.31,0.54,24.88,0.77,3.31,57.69,64.67,30.38,51.01,5.92,13.85
78,Almere City,Eredivisie,0.62,0.95,3.08,30.08,268.73,79.2,43.22,29.23,0.85,14.73,1.92,5.38,67.46,62.2,47.85,43.89,3.38,13.93
79,AZ,Eredivisie,1.68,1.59,5.08,37.91,403.64,84.06,51.91,31.64,1.24,22.4,1.04,3.04,64.76,62.38,33.44,43.42,4.78,12.02
80,Feyenoord,Eredivisie,2.16,1.89,6.24,40.1,445.88,86.14,60.31,35.2,0.68,26.96,1.16,3.44,51.76,64.61,31.68,44.82,5.1,10.17
81,Fortuna Sittard,Eredivisie,1.23,1.38,3.38,33.85,278.35,79.22,45.03,22.96,0.69,14.62,1.65,5.0,67.77,63.28,40.31,42.84,3.48,12.21
82,Go Ahead Eagles,Eredivisie,1.81,1.86,4.85,36.52,364.38,82.68,50.33,29.27,1.0,22.0,1.54,4.85,58.38,62.25,35.12,43.04,4.4,14.67
83,Groningen,Eredivisie,0.96,1.09,4.08,41.98,327.12,81.24,47.06,27.96,0.68,14.4,1.32,4.28,61.4,63.91,46.16,46.36,3.92,12.28
84,Heerenveen,Eredivisie,1.23,1.32,4.08,33.23,407.65,83.89,53.75,30.15,0.58,20.08,1.77,5.19,71.38,63.15,34.5,42.81,4.7,9.9
85,Heracles,Eredivisie,1.27,1.29,3.65,34.55,294.27,80.38,45.98,28.23,0.5,14.81,1.81,5.54,71.42,60.47,36.54,45.58,3.61,12.93
86,NAC Breda,Eredivisie,1.08,1.2,3.69,36.5,286.77,79.29,42.22,24.42,0.92,14.92,1.69,5.62,71.81,63.36,42.35,48.68,3.58,14.16
87,NEC,Eredivisie,1.42,1.47,4.42,38.08,343.81,82.36,49.4,27.04,0.88,17.08,1.42,5.38,69.54,65.6,38.69,43.14,4.15,11.53
88,PEC Zwolle,Eredivisie,1.15,1.06,3.15,34.6,359.23,82.79,48.15,26.31,0.65,15.85,1.58,5.15,71.85,62.31,35.69,44.07,4.21,12.61
89,PSV,Eredivisie,3.0,2.51,7.77,43.53,555.27,87.03,66.5,40.85,0.88,35.73,1.15,3.23,54.88,64.12,30.92,51.49,6.32,8.15
90,RKC Waalwijk,Eredivisie,1.28,1.32,3.96,35.23,295.2,80.36,44.54,27.04,0.52,14.92,2.08,6.0,67.72,64.91,34.72,45.28,3.59,17.4
91,Sparta Rotterdam,Eredivisie,0.96,1.51,4.77,35.53,380.0,83.18,50.78,30.96,1.27,20.31,1.35,4.5,64.92,60.84,42.77,51.08,4.53,11.53
92,Twente,Eredivisie,2.0,1.9,5.77,40.32,412.54,84.03,54.27,33.38,0.73,22.73,1.42,3.77,62.81,66.44,36.42,46.25,4.86,10.81
93,Utrecht,Eredivisie,1.77,1.59,4.54,35.33,322.69,81.62,47.46,29.81,0.96,22.0,1.5,4.88,65.54,66.31,42.12,48.49,3.83,14.69
94,Willem II,Eredivisie,1.08,0.85,3.0,39.8,312.42,82.63,43.39,22.46,0.62,10.77,1.62,5.46,66.19,61.3,37.27,41.49,3.96,16.79
95,Arouca,Primeira Liga,0.96,1.23,3.54,33.33,345.73,82.63,50.48,25.0,1.15,13.92,1.5,4.12,69.92,58.8,31.96,44.28,4.03,11.14
96,AVS ,Primeira Liga,0.77,1.0,2.65,28.75,289.15,80.93,43.83,24.88,0.38,10.85,1.42,4.85,66.19,59.44,38.5,46.85,3.44,13.7
97,Benfica,Primeira Liga,1.93,2.23,6.64,40.61,436.86,84.6,60.43,40.14,0.57,27.5,0.93,3.36,62.21,64.29,30.86,52.78,4.79,8.65
98,Boavista,Primeira Liga,0.64,1.1,3.16,31.47,234.36,76.61,39.61,23.52,0.88,11.0,1.6,4.6,64.88,60.67,37.4,42.35,2.98,13.66
99,Casa Pia AC,Primeira Liga,1.23,1.04,3.15,33.47,286.58,79.83,46.63,23.96,0.65,12.96,1.35,5.15,62.96,59.32,38.88,45.8,3.62,11.74
100,Estoril,Primeira Liga,1.36,1.12,3.4,34.98,322.84,82.86,48.78,24.88,0.76,13.16,1.52,4.56,70.56,62.02,38.36,43.07,3.8,11.05
101,Estrela Amadora,Primeira Liga,0.84,0.93,2.76,31.22,249.88,78.51,45.5,22.28,0.8,10.48,1.48,4.32,67.08,60.82,40.56,45.07,2.99,10.52
102,Famalicão,Primeira Liga,1.16,1.16,3.92,34.75,320.28,81.5,51.72,26.44,1.24,14.44,1.0,4.0,68.56,62.72,38.4,50.31,3.65,11.0
103,Farense,Primeira Liga,0.65,0.9,3.23,31.82,215.0,76.27,41.42,23.69,0.88,12.77,1.42,4.65,77.38,60.44,44.73,45.14,2.72,10.37
104,Gil Vicente,Primeira Liga,0.96,1.02,2.67,30.33,362.17,83.77,52.47,22.75,0.29,14.17,1.33,3.92,62.75,63.94,33.42,48.13,4.33,11.29
105,Moreirense,Primeira Liga,1.16,1.07,3.68,35.94,319.36,82.56,47.99,24.04,1.04,12.56,1.36,3.96,66.08,62.11,40.28,42.8,3.76,10.48
106,Nacional,Primeira Liga,1.04,1.16,3.88,32.66,258.12,79.14,47.9,23.56,0.72,12.92,1.32,4.36,67.44,59.55,39.68,43.75,3.14,10.81
