1,Arsenal,Premier League,24/25,0.832,0.819,0.852,0.328,0.908,0.63,0.878
2,Aston Villa,Premier League,24/25,0.55,0.573,0.617,0.618,0.431,0.256,0.473
3,Bournemouth,Premier League,24/25,0.74,0.873,0.376,0.794,0.481,0.336,0.901
4,Brentford,Premier League,24/25,0.763,0.679,0.456,0.908,0.164,0.725,0.389
5,Brighton,Premier League,24/25,0.718,0.776,0.695,0.191,0.634,0.615,0.847
6,Chelsea,Premier League,24/25,0.847,0.911,0.856,0.969,0.523,0.359,0.626
7,Crystal Palace,Premier League,24/25,0.489,0.649,0.217,0.733,0.718,0.466,0.45
8,Everton,Premier League,24/25,0.29,0.336,0.18,0.534,0.622,0.603,0.13
9,Fulham,Premier League,24/25,0.58,0.679,0.73,1.0,0.603,0.332,0.267
10,Ipswich Town,Premier League,24/25,0.145,0.193,0.202,0.168,0.057,0.424,0.107
11,Leicester City,Premier League,24/25,0.122,0.15,0.397,0.107,0.046,0.321,0.191
12,Liverpool,Premier League,24/25,0.962,0.957,0.856,0.779,0.874,0.397,0.84
13,Manchester City,Premier League,24/25,0.847,0.908,0.947,0.061,0.649,0.458,0.382
14,Manchester United,Premier League,24/25,0.42,0.601,0.705,0.695,0.561,0.573,0.695
15,Newcastle United,Premier League,24/25,0.756,0.72,0.54,0.954,0.424,0.286,0.794
16,Nottingham Forest,Premier League,24/25,0.695,0.598,0.145,1.0,0.615,0.225,0.076
17,Southampton,Premier League,24/25,0.038,0.221,0.592,0.107,0.0,0.424,0.198
18,Tottenham Hotspur,Premier League,24/25,0.878,0.84,0.754,0.962,0.393,0.164,0.855
19,West Ham United,Premier League,24/25,0.389,0.496,0.504,0.595,0.191,0.351,0.542
20,Wolverhampton,Premier League,24/25,0.519,0.42,0.458,0.817,0.176,0.252,0.664
21,Angers SCO,Ligue 1,24/25,0.252,0.148,0.266,0.74,0.137,0.08,0.031
22,Auxerre,Ligue 1,24/25,0.573,0.471,0.186,0.489,0.267,0.653,0.069
23,Brest,Ligue 1,24/25,0.626,0.639,0.489,0.771,0.378,0.683,0.527
24,Le Havre,Ligue 1,24/25,0.191,0.219,0.243,0.611,0.092,0.786,0.023
25,Lens,Ligue 1,24/25,0.397,0.621,0.699,0.489,0.687,0.584,0.863
26,Lille,Ligue 1,24/25,0.672,0.799,0.89,0.374,0.763,0.676,0.885
27,Monaco,Ligue 1,24/25,0.87,0.908,0.73,0.832,0.618,0.519,0.954
28,Montpellier,Ligue 1,24/25,0.084,0.277,0.279,0.664,0.019,0.389,0.221
29,Nantes,Ligue 1,24/25,0.336,0.453,0.272,0.985,0.248,0.271,0.008
30,Nice,Ligue 1,24/25,0.87,0.817,0.518,0.939,0.511,0.744,0.504
