1,Arsenal,Premier League,427.42,88.06,32.82,1.1,0.89,3.21,54.29,61.03,5.46
2,Aston Villa,Premier League,360.26,86.48,24.87,1.05,1.34,4.21,61.74,60.4,4.64
3,Bournemouth,Premier League,318.76,81.53,31.08,1.13,1.21,4.61,77.34,61.04,3.84
4,Brentford,Premier League,328.79,82.37,25.97,1.47,1.5,5.63,65.47,61.94,4.2
5,Brighton,Premier League,387.26,85.61,29.68,0.71,1.55,4.0,65.05,61.57,4.74
6,Brighton,Premier League,387.26,85.61,29.68,0.71,1.55,4.0,65.05,61.57,4.74
7,Chelsea,Premier League,442.5,87.05,29.63,1.68,1.13,4.13,59.68,60.49,5.4
8,Crystal Palace,Premier League,293.53,79.94,24.18,1.34,1.34,4.16,71.68,62.74,3.83
9,Everton,Premier League,282.24,81.43,26.74,0.95,1.16,4.34,68.42,62.42,3.68
10,Fulham,Premier League,402.55,85.43,28.97,1.66,1.42,4.26,64.84,60.92,4.99
11,Fulham,Premier League,402.55,85.43,28.97,1.66,1.42,4.26,64.84,60.92,4.99
12,Liverpool,Premier League,448.92,86.81,33.61,1.47,1.08,3.71,67.21,59.2,5.26
13,Manchester City,Premier League,527.82,89.75,33.42,0.71,1.16,3.39,50.16,60.76,6.75
14,Manchester United,Premier League,417.68,85.84,27.76,1.16,1.42,3.89,66.61,63.89,5.18
15,Newcastle United,Premier League,368.76,83.88,28.47,1.61,1.24,4.58,61.92,57.5,4.45
16,Nottingham Forest,Premier League,272.84,81.87,25.11,1.76,1.21,4.53,71.26,59.9,3.59
17,Nottingham Forest,Premier League,272.84,81.87,25.11,1.76,1.21,4.53,71.26,59.9,3.59
18,Tottenham Hotspur,Premier League,392.76,84.99,27.74,1.45,1.71,5.11,65.05,58.58,4.61
19,West Ham United,Premier League,364.34,85.06,26.32,0.87,1.63,5.03,65.11,60.59,4.53
20,Wolverhampton,Premier League,351.34,84.43,26.24,1.24,1.82,4.61,71.84,62.2,4.32
21,Angers SCO,Ligue 1,312.62,82.39,23.38,1.06,1.56,5.62,70.91,59.52,3.96
22,Auxerre,Ligue 1,308.5,81.43,24.21,1.0,1.5,5.29,68.29,61.97,3.8
23,Brest,Ligue 1,360.32,84.12,26.91,1.18,1.74,4.35,70.12,63.26,4.29
24,Le Havre,Ligue 1,311.35,82.45,23.56,1.06,2.09,5.44,69.82,63.82,3.97
25,Lens,Ligue 1,416.91,84.38,32.41,0.88,1.15,4.24,72.79,61.94,4.84
26,Lille,Ligue 1,469.91,87.18,32.71,0.97,1.06,3.82,68.35,61.96,5.55
27,Monaco,Ligue 1,405.15,83.91,33.15,1.44,1.21,3.88,73.26,62.51,4.57
28,Montpellier,Ligue 1,323.38,82.64,25.12,1.18,2.32,6.0,69.59,61.54,4.0
29,Nantes,Ligue 1,308.85,82.71,24.71,1.74,1.53,4.59,68.24,61.47,3.83
30,Nice,Ligue 1,366.12,84.08,28.65,1.41,1.21,4.82,68.85,63.48,4.35
31,Olympique Lyonnais,Ligue 1,451.21,86.07,32.79,1.15,1.35,5.03,68.06,60.11,5.35
32,Olympique Marseille,Ligue 1,576.71,89.35,30.15,1.29,1.38,4.09,58.56,62.23,7.03
33,PSG,Ligue 1,652.97,90.81,38.94,1.24,1.03,3.26,63.0,63.91,7.42
34,Reims,Ligue 1,327.26,83.06,25.62,1.53,1.38,5.41,65.56,61.37,4.01
35,Rennes,Ligue 1,391.82,85.39,29.41,1.03,1.47,4.26,66.82,62.94,4.63
36,Saint-Étienne,Ligue 1,372.06,84.38,26.38,1.35,2.26,6.29,75.74,60.78,4.42
37,Strasbourg,Ligue 1,415.12,86.54,22.85,0.97,1.29,5.18,65.56,64.38,5.01
38,Toulouse,Ligue 1,326.44,82.15,27.76,1.32,1.26,3.32,68.44,61.8,4.02
39,Augsburg,Bundesliga,319.59,81.88,28.18,0.56,1.5,4.82,53.47,60.56,3.82
40,Bayer Leverkusen,Bundesliga,511.44,87.45,34.15,1.24,1.26,3.94,46.68,62.76,5.88
41,Bayern München,Bundesliga,644.3,90.1,40.52,0.67,0.94,2.55,48.88,66.58,7.43
42,Borussia Dortmund,Bundesliga,484.94,87.29,30.58,1.85,1.52,4.3,59.0,63.28,5.57
43,Borussia Mgladbach,Bundesliga,390.67,83.59,24.0,1.61,1.67,5.85,61.21,60.5,4.7
44,Eintracht Frankfurt,Bundesliga,389.74,84.41,27.47,1.5,1.35,5.03,61.06,64.21,4.6
45,Freiburg,Bundesliga,362.15,83.38,28.26,0.74,1.56,4.5,57.47,64.23,4.57
46,Freiburg,Bundesliga,362.15,83.38,28.26,0.74,1.56,4.5,57.47,64.23,4.57
47,Heidenheim,Bundesliga,309.7,80.67,24.58,0.82,1.85,5.21,71.3,64.98,3.7
48,Hoffenheim,Bundesliga,355.68,81.54,30.06,0.79,2.0,5.32,65.97,64.38,4.27
49,Hoffenheim,Bundesliga,355.68,81.54,30.06,0.79,2.0,5.32,65.97,64.38,4.27
50,Mainz 05,Bundesliga,351.82,80.81,30.62,1.12,1.26,4.56,58.24,63.38,4.2
51,RB Leipzig,Bundesliga,411.68,83.97,27.91,1.5,1.41,4.94,61.06,60.21,4.97
