1,Arsenal,Premier League,24/25,0.794,0.84,0.872,0.504,0.92,0.496,0.847
2,Aston Villa,Premier League,24/25,0.603,0.606,0.539,0.55,0.531,0.256,0.382
3,Bournemouth,Premier League,24/25,0.603,0.804,0.392,0.634,0.481,0.267,0.924
4,Brentford,Premier League,24/25,0.756,0.644,0.344,0.855,0.156,0.622,0.496
5,Brighton,Premier League,24/25,0.756,0.802,0.692,0.145,0.439,0.634,0.832
6,Brighton,Premier League,24/25,0.756,0.802,0.692,0.145,0.439,0.634,0.832
7,Chelsea,Premier League,24/25,0.733,0.903,0.812,0.931,0.676,0.328,0.58
8,Crystal Palace,Premier League,24/25,0.435,0.583,0.139,0.786,0.534,0.374,0.214
9,Everton,Premier League,24/25,0.237,0.254,0.173,0.427,0.611,0.649,0.099
10,Fulham,Premier League,24/25,0.489,0.621,0.687,0.916,0.462,0.363,0.282
11,Fulham,Premier League,24/25,0.489,0.621,0.687,0.916,0.462,0.363,0.282
12,Liverpool,Premier League,24/25,0.962,0.949,0.866,0.855,0.809,0.366,0.885
13,Manchester City,Premier League,24/25,0.847,0.906,0.96,0.145,0.798,0.473,0.412
14,Manchester United,Premier League,24/25,0.328,0.611,0.699,0.649,0.546,0.679,0.649
15,Newcastle United,Premier League,24/25,0.771,0.73,0.55,0.885,0.485,0.324,0.809
16,Nottingham Forest,Premier League,24/25,0.603,0.473,0.144,0.977,0.511,0.302,0.13
17,Nottingham Forest,Premier League,24/25,0.603,0.473,0.144,0.977,0.511,0.302,0.13
18,Tottenham Hotspur,Premier League,24/25,0.733,0.71,0.634,0.84,0.111,0.149,0.695
19,West Ham United,Premier League,24/25,0.351,0.379,0.489,0.359,0.153,0.385,0.489
20,Wolverhampton,Premier League,24/25,0.489,0.346,0.444,0.71,0.176,0.366,0.595
21,Angers SCO,Ligue 1,24/25,0.084,0.061,0.202,0.58,0.111,0.053,0.0
22,Auxerre,Ligue 1,24/25,0.458,0.313,0.174,0.504,0.187,0.542,0.023
23,Brest,Ligue 1,24/25,0.618,0.514,0.455,0.664,0.275,0.752,0.42
24,Le Havre,Ligue 1,24/25,0.344,0.216,0.224,0.58,0.031,0.786,0.061
25,Lens,Ligue 1,24/25,0.382,0.649,0.725,0.374,0.653,0.546,0.908
26,Lille,Ligue 1,24/25,0.618,0.746,0.876,0.45,0.79,0.721,0.901
27,Monaco,Ligue 1,24/25,0.817,0.893,0.71,0.824,0.71,0.473,0.947
28,Montpellier,Ligue 1,24/25,0.0,0.115,0.304,0.664,0.004,0.248,0.168
