Player,Position,Team within selected timeframe,Minutes played
Simão,Goalkeeper,AVS ,1100
R. Owusu-Oduro,Goalkeeper,AZ,1538
V. Jaroš,Goalkeeper,Ajax,1757
André Gomes,Goalkeeper,Alverca,1893
H. Koffi,Goalkeeper,Angers SCO,1874
João Valido,Goalkeeper,Arouca,899
N. Mantl,Goalkeeper,Arouca,797
David Raya,Goalkeeper,Arsenal,2610
E. Martínez,Goalkeeper,Aston Villa,2160
M. Carnesecchi,Goalkeeper,Atalanta,2329
Unai Simón,Goalkeeper,Athletic Club,2368
J. Oblak,Goalkeeper,Atlético Madrid,2175
F. Dahmen,Goalkeeper,Augsburg,2118
D. Léon,Goalkeeper,Auxerre,1799
Joan García,Goalkeeper,Barcelona,1687
M. Flekken,Goalkeeper,Bayer Leverkusen,1661
M. Neuer,Goalkeeper,Bayern München,1760
A. Trubin,Goalkeeper,Benfica,1901
Ł. Skorupski,Goalkeeper,Bologna,1059
F. Ravaglia,Goalkeeper,Bologna,1215
G. Kobel,Goalkeeper,Borussia Dortmund,2188
M. Nicolas,Goalkeeper,Borussia Mgladbach,2178
D. Petrović,Goalkeeper,Bournemouth,2619
C. Kelleher,Goalkeeper,Brentford,2613
G. Coudert,Goalkeeper,Brest,1138
R. Majecki,Goalkeeper,Brest,957
B. Verbruggen,Goalkeeper,Brighton,2614
M. Dúbravka,Goalkeeper,Burnley,2599
E. Caprile,Goalkeeper,Cagliari,2351
P. Sequeira,Goalkeeper,Casa Pia AC,1614
A. Radu,Goalkeeper,Celta de Vigo,2274
Robert Sánchez,Goalkeeper,Chelsea,2434
J. Butez,Goalkeeper,Como,2252
E. Audero,Goalkeeper,Cremonese,1975
D. Henderson,Goalkeeper,Crystal Palace,2597
Antonio Sivera,Goalkeeper,Deportivo Alavés,2379
M. Zetterer,Goalkeeper,Eintracht Frankfurt,1105
Kauã Santos,Goalkeeper,Eintracht Frankfurt,1012
M. Dituro,Goalkeeper,Elche,797
Iñaki Peña,Goalkeeper,Elche,1578
M. Dmitrović,Goalkeeper,Espanyol,2273
Joel Robles,Goalkeeper,Estoril,2062
Renan Ribeiro,Goalkeeper,Estrela Amadora,2106
J. Pickford,Goalkeeper,Everton,2576
S. van Gassel,Goalkeeper,Excelsior,1882
L. Carević,Goalkeeper,Famalicão,2185
T. Wellenreuther,Goalkeeper,Feyenoord,2158
David de Gea,Goalkeeper,Fiorentina,2487
M. Branderhorst,Goalkeeper,Fortuna Sittard,2066
N. Atubolu,Goalkeeper,Freiburg,2203
B. Leno,Goalkeeper,Fulham,2609
N. Leali,Goalkeeper,Genoa,1887
David Soria,Goalkeeper,Getafe,2390
Andrew,Goalkeeper,Gil Vicente,1664
P. Gazzaniga,Goalkeeper,Girona,1907
J. De Busser,Goalkeeper,Go Ahead Eagles,2258
E. Vaessen,Goalkeeper,Groningen,1802
Daniel Heuer Fernandes,Goalkeeper,Hamburger SV,2114
B. Klaverboer,Goalkeeper,Heerenveen,1687
D. Ramaj,Goalkeeper,Heidenheim,2171
L. Montipò,Goalkeeper,Hellas Verona,2161
T. Jansink,Goalkeeper,Heracles,1162
F. de Keijzer,Goalkeeper,Heracles,778
O. Baumann,Goalkeeper,Hoffenheim,2200
Y. Sommer,Goalkeeper,Internazionale,2137
M. Di Gregorio,Goalkeeper,Juventus,2066
M. Schwäbe,Goalkeeper,Köln,2231
I. Provedel,Goalkeeper,Lazio,2360
M. Diaw,Goalkeeper,Le Havre,1692
W. Falcone,Goalkeeper,Lecce,2349
Lucas Perri,Goalkeeper,Leeds United,1622
K. Darlow,Goalkeeper,Leeds United,985
R. Risser,Goalkeeper,Lens,2185
M. Ryan,Goalkeeper,Levante,1991
B. Özer,Goalkeeper,Lille,1902
Alisson,Goalkeeper,Liverpool,2132
Y. Mvogo,Goalkeeper,Lorient,1795
D. Batz,Goalkeeper,Mainz 05,999
R. Zentner,Goalkeeper,Mainz 05,879
Leo Román,Goalkeeper,Mallorca,1799
G. Donnarumma,Goalkeeper,Manchester City,2298
S. Lammens,Goalkeeper,Manchester United,2001
J. Fischer,Goalkeeper,Metz,2023
M. Maignan,Goalkeeper,Milan,2123
P. Köhn,Goalkeeper,Monaco,1532
Caio Secco,Goalkeeper,Moreirense,885
André Ferreira,Goalkeeper,Moreirense,1187
D. Bielica,Goalkeeper,NAC Breda,2061
G. Crettaz,Goalkeeper,NEC,2175
Kaique,Goalkeeper,Nacional,1520
A. Lopes,Goalkeeper,Nantes,2098
V. Milinković-Savić,Goalkeeper,Napoli,1680
N. Pope,Goalkeeper,Newcastle United,2030
Y. Diouf,Goalkeeper,Nice,1602
M. Sels,Goalkeeper,Nottingham Forest,1858
D. Greif,Goalkeeper,Olympique Lyonnais,1712
G. Rulli,Goalkeeper,Olympique Marseille,1790
Sergio Herrera,Goalkeeper,Osasuna,2278
T. de Graaff,Goalkeeper,PEC Zwolle,1969
L. Chevalier,Goalkeeper,PSG,1673
M. Kovář,Goalkeeper,PSV,2045
O. Nkambadio,Goalkeeper,Paris,1105
K. Trapp,Goalkeeper,Paris,991
E. Corvi,Goalkeeper,Parma,1178
Z. Suzuki,Goalkeeper,Parma,1090
A. Šemper,Goalkeeper,Pisa,1664
Diogo Costa,Goalkeeper,Porto,2032
P. Gulácsi,Goalkeeper,RB Leipzig,2104
A. Batalla,Goalkeeper,Rayo Vallecano,2188
Pau López,Goalkeeper,Real Betis,800
Álvaro Valles,Goalkeeper,Real Betis,1500
T. Courtois,Goalkeeper,Real Madrid,2274
Aarón Escandell,Goalkeeper,Real Oviedo,2275
Álex Remiro,Goalkeeper,Real Sociedad,2386
B. Samba,Goalkeeper,Rennes,1984
C. Miszta,Goalkeeper,Rio Ave,1687
M. Svilar,Goalkeeper,Roma,2350
Gabriel Batista,Goalkeeper,Santa Clara,2175
A. Murić,Goalkeeper,Sassuolo,2262
O. Vlachodimos,Goalkeeper,Sevilla,2018
J. Drommel,Goalkeeper,Sparta Rotterdam,2153
L. Horníček,Goalkeeper,Sporting Braga,2174
Rui Silva,Goalkeeper,Sporting CP,1883
N. Vasilj,Goalkeeper,St. Pauli,2175
M. Penders,Goalkeeper,Strasbourg,2082
A. Nübel,Goalkeeper,Stuttgart,2184
R. Roefs,Goalkeeper,Sunderland,2609
R. Koeman,Goalkeeper,Telstar,2044
Bernardo,Goalkeeper,Tondela,2183
